Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,1.4,-58.58,-23.61,-21.86,53.7,1.18,-0.01,0.00,1.00,0.00,1.00,1,3807,883.8,1.69,-0.54,-0.73,-0.10,718,122,4963,0.0425,0.354,0.017,-0.083,-0.16,-7.00,381,1619,-167,0,0,5104,0.0449,0.374,0.016,-0.084,-0.03,-7.13,381,1620,-31,0,0,8906,0.0716,0.597,0.034,-0.066,-0.12,-7.04,389,5905,-212,0,0,8936,0.0736,0.613,0.034,-0.066,-0.12,-7.04,389,5888,-212,0,0
0.240,3.3,-56.91,-23.60,-20.95,59.4,1.36,0.09,0.24,1.00,0.00,1.00,1,4324,962.6,1.81,-0.55,-0.62,5.76,880,149,5574,0.0441,0.013,0.037,-0.063,5.91,-1.25,430,1952,4151,0,0,4944,0.0446,-0.003,0.051,-0.049,7.92,0.75,430,1897,4416,0,0,9128,0.0731,0.012,0.062,-0.038,0.01,-7.15,443,6924,-51,0,0,8394,0.0722,-0.011,0.072,-0.028,0.01,-7.15,443,6910,-46,0,0
0.360,5.4,-55.05,-23.60,-20.04,63.7,1.02,0.94,0.53,0.90,0.00,1.00,1,4698,871.8,1.73,-0.43,0.12,42.32,1020,171,7136,0.0590,0.124,0.056,-0.044,14.99,7.83,471,1824,7648,0,0,3921,0.0366,-0.066,0.153,0.053,20.12,12.96,466,1931,4053,0,0,10372,0.0817,0.071,0.043,-0.057,2.18,-4.99,480,6280,3588,0,0,6786,0.0595,-0.106,0.116,0.016,2.33,-4.83,479,6894,1997,0,0
0.480,7.6,-53.01,-23.59,-19.19,68.5,1.17,0.59,0.00,1.00,0.00,1.00,1,5024,1001.9,1.98,-0.34,0.14,22.39,1189,198,5532,0.0606,0.013,0.025,-0.075,-0.30,-6.86,499,2289,-796,0,0,5110,0.0372,0.005,0.032,-0.068,-0.16,-7.00,485,2607,-628,0,0,9213,0.0824,0.006,0.073,-0.027,3.15,-4.01,523,6954,4720,0,0,8346,0.0591,-0.003,0.109,0.009,3.27,-3.90,521,7705,3844,0,0
0.600,10.0,-50.78,-23.59,-18.34,73.8,1.28,0.66,0.24,1.00,0.00,1.00,1,5423,1005.5,2.07,-0.37,-0.04,15.45,1370,230,6186,0.0567,-0.033,0.046,-0.054,8.28,1.12,540,2132,6028,0,0,4428,0.0391,0.016,0.078,-0.022,10.83,3.67,541,2017,4565,0,0,9906,0.0814,-0.008,0.063,-0.037,1.59,-5.57,555,7593,2774,0,0,7800,0.0639,0.039,0.088,-0.012,1.63,-5.53,555,7172,2105,0,0
0.720,12.6,-48.35,-23.59,-17.58,77.7,0.96,1.20,0.62,0.67,0.00,1.00,1,5662,619.2,1.58,-0.27,0.46,42.15,1527,255,7273,0.0663,0.080,0.041,-0.059,17.21,10.05,558,1433,7824,0,0,4156,0.0337,-0.046,0.121,0.021,22.61,15.44,549,1653,4386,0,0,10508,0.0883,0.057,-0.029,-0.071,2.97,-4.19,565,3422,5287,0,0,6553,0.0555,-0.069,0.026,-0.074,3.15,-4.02,561,5505,3172,0,0
0.840,15.1,-45.82,-23.59,-17.00,77.5,0.06,1.52,0.71,0.23,0.00,1.00,1,5108,-76.4,0.41,0.06,0.88,49.03,1569,253,8570,0.0811,0.123,0.009,-0.091,24.05,16.89,523,344,9022,0,0,4989,0.0364,0.023,0.087,-0.013,31.23,24.07,494,1020,5343,0,0,9770,0.0882,-0.001,-0.059,-0.041,4.32,-2.84,558,-3572,6774,0,0,5237,0.0426,-0.107,-0.008,-0.092,4.62,-2.54,551,1311,4113,0,0
0.960,17.7,-43.26,-23.59,-16.61,79.6,0.59,1.04,0.00,1.00,0.00,1.00,1,5914,987.7,2.19,0.18,0.62,31.58,1671,267,6058,0.0798,-0.011,0.022,-0.078,1.03,-6.13,580,2223,909,0,0,5223,0.0428,0.054,0.033,-0.067,1.26,-5.90,561,2643,1008,0,0,9418,0.0830,-0.043,0.099,-0.001,5.18,-1.98,623,7279,6242,0,0,7832,0.0459,0.027,0.147,0.047,5.41,-1.76,623,7302,4487,0,0
1.080,20.5,-40.53,-23.59,-16.32,84.6,1.25,0.92,0.00,1.00,0.00,1.00,1,6173,973.3,2.25,-0.09,0.29,10.85,1826,302,5955,0.0671,-0.105,0.025,-0.075,1.73,-5.43,610,2329,2031,0,0,4460,0.0401,-0.022,0.036,-0.064,1.92,-5.24,607,2333,1693,0,0,10134,0.0859,0.024,0.071,-0.029,3.16,-4.00,637,7429,5218,0,0,8110,0.0589,0.108,0.088,-0.012,3.21,-3.96,638,6860,4077,0,0
1.200,23.4,-37.61,-23.59,-16.14,89.6,1.20,0.66,0.00,1.00,0.00,1.00,1,6466,954.5,2.32,-0.22,0.10,2.22,2018,339,5861,0.0613,-0.048,0.023,-0.077,0.96,-6.21,641,2280,1169,0,0,5060,0.0404,0.002,0.027,-0.073,1.11,-6.05,642,2239,1175,0,0,9701,0.0863,0.004,0.058,-0.042,1.31,-5.85,663,7256,2361,0,0,8430,0.0648,0.049,0.063,-0.037,1.31,-5.85,664,6723,2064,0,0
