===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1320 kg
0-100 km/h Time: 2.86 sec
Braking Distance (100-0): 53.2 meters
Peak Acceleration: 1.44 G
Peak Braking: 2.16 G
Peak Lateral Grip: 1.81 G
Peak Downforce Generated: 49031 N (approx 4998 kg)
Peak Engine Speed: 8307 RPM
Peak Manifold Pressure: 2.50 Bar
Top Speed Reached: 316.9 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load_N,FL_Travel_m,FL_Slip,FL_SlipAng_deg,FL_RPM,FL_LongForce_N,FL_LatForce_N,FL_BrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_Slip,FR_SlipAng_deg,FR_RPM,FR_LongForce_N,FR_LatForce_N,FR_BrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_Slip,RL_SlipAng_deg,RL_RPM,RL_LongForce_N,RL_LatForce_N,RL_BrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_Slip,RR_SlipAng_deg,RR_RPM,RR_LongForce_N,RR_LatForce_N,RR_BrakeTrq_Nm,RR_ABS_Active
5.900,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,1,891,0.0,0.12,-0.05,0.00,0.00,0,0,3126,0.037,0.000,0.00,0,3,0,6000,0,3126,0.037,0.000,0.00,0,3,0,6000,0,3349,0.039,0.000,0.00,0,3,0,6000,0,3349,0.039,0.000,0.00,0,3,0,6000,0
5.920,Launching,0.0,0.04,0.00,0.00,1.00,0.00,0.00,1,994,219.2,1.00,-0.05,0.00,0.00,0,0,3131,0.037,0.096,0.00,-5,3829,0,0,0,3131,0.037,0.096,0.00,-5,3829,0,0,0,3343,0.039,0.105,0.00,-5,4164,0,0,0,3343,0.039,0.105,0.00,-5,4164,0,0,0
5.940,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,1167,233.8,1.03,-0.05,0.00,0.00,0,0,3119,0.037,-0.097,0.00,5,-3824,0,0,0,3119,0.037,-0.097,0.00,5,-3824,0,0,0,3355,0.039,-0.103,0.00,6,-4167,0,0,0,3355,0.039,-0.103,0.00,6,-4167,0,0,0
5.960,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,1352,250.9,1.05,-0.05,0.00,0.00,0,0,3133,0.037,0.095,0.00,-5,3828,0,0,0,3133,0.037,0.095,0.00,-5,3828,0,0,0,3342,0.039,0.105,0.00,-5,4165,0,0,0,3342,0.039,0.105,0.00,-5,4165,0,0,0
5.980,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,1551,269.5,1.08,-0.05,0.00,0.00,0,0,3120,0.037,-0.097,0.00,5,-3825,0,0,0,3120,0.037,-0.097,0.00,5,-3825,0,0,0,3355,0.039,-0.103,0.00,5,-4167,0,0,0,3355,0.039,-0.103,0.00,5,-4167,0,0,0
6.000,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,1766,289.9,1.11,-0.05,0.00,0.00,0,0,3133,0.037,0.095,0.00,-5,3829,0,0,0,3133,0.037,0.095,0.00,-5,3829,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0
6.020,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,1996,312.3,1.14,-0.05,0.00,0.00,0,0,3120,0.037,-0.097,0.00,5,-3826,0,0,0,3120,0.037,-0.097,0.00,5,-3826,0,0,0,3354,0.039,-0.103,0.00,5,-4167,0,0,0,3354,0.039,-0.103,0.00,5,-4167,0,0,0
6.040,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,2243,334.3,1.17,-0.05,0.00,0.00,0,0,3134,0.037,0.095,0.00,-5,3829,0,0,0,3133,0.037,0.095,0.00,-5,3829,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0
6.060,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,2508,358.1,1.20,-0.05,0.00,0.00,0,0,3120,0.037,-0.097,0.00,5,-3826,0,0,0,3120,0.037,-0.097,0.00,5,-3826,0,0,0,3354,0.039,-0.103,0.00,5,-4167,0,0,0,3354,0.039,-0.103,0.00,5,-4167,0,0,0
6.080,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,2793,384.3,1.23,-0.05,0.00,0.00,0,0,3134,0.037,0.095,0.00,-5,3829,0,0,0,3133,0.037,0.095,0.00,-5,3829,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0
6.100,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,3097,411.3,1.26,-0.05,0.00,0.00,0,0,3120,0.037,-0.097,0.00,5,-3826,0,0,0,3120,0.037,-0.097,0.00,5,-3826,0,0,0,3354,0.039,-0.103,0.00,5,-4167,0,0,0,3354,0.039,-0.103,0.00,5,-4167,0,0,0
6.120,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,3421,434.7,1.30,-0.05,0.00,0.00,0,0,3133,0.037,0.095,0.00,-5,3829,0,0,0,3133,0.037,0.095,0.00,-5,3829,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0,3342,0.039,0.105,0.00,-5,4164,0,0,0
6.140,Launching,0.0,0.01,0.00,0.00,1.00,0.00,0.07,1,3731,459.5,1.34,-0.05,0.00,-0.17,0,0,3111,0.037,-0.043,0.07,7,-2748,111,0,0,3111,0.037,-0.029,0.07,7,-2065,111,0,0,3362,0.039,-0.089,-0.06,7,-4041,-112,0,0,3362,0.039,-0.011,-0.06,6,-952,-112,0,0
6.160,Launching,0.4,0.49,0.00,0.00,1.00,0.00,0.17,1,3948,482.7,1.38,-0.06,0.00,-0.37,0,0,3057,0.037,0.101,0.37,2,3782,622,0,0,3058,0.037,0.055,0.37,4,3091,622,0,0,3406,0.040,0.145,-0.34,-1,4431,-636,0,0,3407,0.040,0.045,-0.34,8,3084,-636,0,0
6.180,Launching,0.9,0.73,0.00,0.00,1.00,0.00,0.27,1,4067,502.2,1.42,-0.08,0.00,-0.70,0,0,2946,0.036,0.024,0.40,10,1702,645,0,0,2949,0.036,0.092,0.40,13,3572,646,0,0,3505,0.040,-0.038,-0.34,16,-2874,-654,0,0,3507,0.040,0.321,-0.34,25,4689,-651,0,0
6.200,Launching,1.6,1.01,0.00,0.00,1.00,0.00,0.31,1,4119,519.6,1.47,-0.11,0.00,-0.50,1,0,2825,0.035,0.061,0.43,15,2987,661,0,0,2830,0.035,0.286,0.43,29,3763,657,0,0,3621,0.041,0.211,-0.35,15,4823,-691,0,0,3625,0.041,0.579,-0.35,46,4845,-685,0,0
6.220,Launching,2.4,1.07,0.00,0.00,1.00,0.00,0.33,1,4157,537.2,1.51,-0.15,0.00,-0.44,2,0,2716,0.035,0.083,0.29,23,3207,428,0,0,2720,0.035,0.668,0.29,56,3646,433,0,0,3738,0.042,0.003,-0.21,25,264,-422,0,0,3741,0.042,0.696,-0.21,56,5033,-421,0,0
6.240,Launching,3.2,1.12,0.00,0.00,1.00,0.00,0.34,1,4189,554.7,1.56,-0.19,0.00,-0.40,3,0,2632,0.034,0.159,0.24,33,3452,343,0,0,2636,0.034,1.174,0.25,90,3541,355,0,0,3837,0.043,-0.012,-0.16,34,-1172,-334,0,0,3840,0.043,0.754,-0.16,65,5174,-333,0,0
6.260,Launching,4.0,1.17,0.00,0.00,1.00,0.00,0.36,1,4218,572.4,1.60,-0.22,0.00,-0.25,5,1,2574,0.033,0.393,0.24,53,3459,341,0,0,2577,0.033,1.757,0.26,129,3460,361,0,0,3914,0.044,0.059,-0.17,30,4102,-357,0,0,3917,0.044,0.798,-0.17,74,5276,-356,0,0
