===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1440 kg
0-100 km/h Time: 4.18 sec
Braking Distance (100-0): 38.6 meters
Peak Acceleration: 1.24 G
Peak Braking: 2.44 G
Peak Lateral Grip: 2.83 G
Peak Downforce Generated: 3478 N (approx 355 kg)
Peak Engine Speed: 8604 RPM
Peak Manifold Pressure: 2.80 Bar
Top Speed Reached: 261.8 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load_N,FL_Travel_m,FL_Slip,FL_SlipAng_deg,FL_RPM,FL_LongForce_N,FL_LatForce_N,FL_BrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_Slip,FR_SlipAng_deg,FR_RPM,FR_LongForce_N,FR_LatForce_N,FR_BrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_Slip,RL_SlipAng_deg,RL_RPM,RL_LongForce_N,RL_LatForce_N,RL_BrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_Slip,RR_SlipAng_deg,RR_RPM,RR_LongForce_N,RR_LatForce_N,RR_BrakeTrq_Nm,RR_ABS_Active
2.660,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,1,889,0.0,0.13,-0.31,0.00,0.01,0,0,3219,0.072,1.021,-0.08,38,2598,-160,900,1,3222,0.072,-0.188,-0.08,11,-4495,-161,900,1,3840,0.085,-0.305,0.06,6,-4865,161,900,1,3843,0.085,0.298,0.06,-12,4896,161,900,1
2.680,Launching,0.3,0.09,0.00,0.00,1.00,0.00,0.00,1,938,104.5,1.00,-0.31,0.00,0.03,0,0,3241,0.072,-0.197,0.02,2,-4491,39,0,0,3240,0.072,0.074,0.02,-14,4487,39,0,0,3822,0.085,0.065,-0.02,-17,5125,-39,0,0,3821,0.085,-0.212,-0.02,4,-5231,-39,0,0
2.700,Launching,0.3,0.00,0.00,0.00,1.00,0.00,0.00,1,1050,108.5,1.03,-0.31,0.00,-0.02,0,0,3242,0.072,0.074,-0.01,-14,4492,-31,0,0,3242,0.072,-0.197,-0.01,2,-4490,-31,0,0,3822,0.085,-0.245,0.01,1,-5092,31,0,0,3821,0.085,0.064,0.01,-17,5094,31,0,0
2.720,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,1169,115.7,1.05,-0.30,0.00,0.02,0,0,3242,0.072,-0.197,0.01,2,-4490,31,0,0,3241,0.072,0.074,0.01,-14,4491,31,0,0,3823,0.085,0.064,-0.01,-17,5094,-32,0,0,3822,0.085,-0.245,-0.01,1,-5091,-32,0,0
2.740,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,1297,123.6,1.07,-0.30,0.00,-0.02,0,0,3241,0.072,0.074,-0.01,-14,4490,-32,0,0,3240,0.072,-0.197,-0.01,2,-4488,-32,0,0,3825,0.085,-0.245,0.01,1,-5094,31,0,0,3824,0.085,0.064,0.01,-17,5095,31,0,0
2.760,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,1432,132.1,1.10,-0.30,0.00,0.02,0,0,3239,0.072,-0.197,0.01,2,-4488,32,0,0,3238,0.072,0.074,0.01,-14,4488,32,0,0,3826,0.085,0.064,-0.01,-17,5097,-32,0,0,3825,0.085,-0.245,-0.01,1,-5094,-32,0,0
2.780,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,1578,141.3,1.12,-0.30,0.00,-0.02,0,0,3238,0.072,0.074,-0.02,-14,4487,-32,0,0,3236,0.072,-0.197,-0.02,2,-4485,-32,0,0,3828,0.085,-0.245,0.01,1,-5097,32,0,0,3827,0.085,0.064,0.01,-17,5098,32,0,0
2.800,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,1733,151.2,1.14,-0.30,0.00,0.02,0,0,3235,0.072,-0.197,0.02,2,-4483,32,0,0,3234,0.072,0.074,0.02,-14,4483,32,0,0,3830,0.085,0.064,-0.01,-17,5101,-32,0,0,3828,0.085,-0.245,-0.01,1,-5098,-32,0,0
2.820,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,1900,162.1,1.17,-0.30,0.00,-0.02,0,0,3233,0.072,0.074,-0.02,-14,4482,-32,0,0,3232,0.072,-0.197,-0.02,2,-4479,-33,0,0,3831,0.085,-0.245,0.01,1,-5101,32,0,0,3830,0.085,0.064,0.01,-17,5101,32,0,0
2.840,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,2078,173.1,1.20,-0.30,0.00,0.02,0,0,3231,0.072,-0.196,0.02,2,-4478,33,0,0,3229,0.072,0.074,0.02,-14,4478,33,0,0,3833,0.085,0.064,-0.01,-17,5104,-33,0,0,3832,0.085,-0.245,-0.01,1,-5101,-33,0,0
2.860,Launching,0.3,-0.01,0.00,0.00,1.00,0.00,0.00,1,2268,183.5,1.22,-0.30,0.00,-0.02,0,0,3229,0.072,0.074,-0.02,-14,4477,-33,0,0,3228,0.072,-0.196,-0.02,2,-4475,-33,0,0,3834,0.085,-0.246,0.01,1,-5104,33,0,0,3833,0.085,0.064,0.01,-17,5104,33,0,0
