===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1320 kg
0-100 km/h Time: 3.45 sec
Braking Distance (100-0): 51.1 meters
Peak Acceleration: 1.48 G
Peak Braking: 2.35 G
Peak Lateral Grip: 1.32 G
Peak Downforce Generated: 52716 N (approx 5374 kg)
Peak Engine Speed: 8248 RPM
Peak Manifold Pressure: 3.50 Bar
Top Speed Reached: 344.2 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load_N,FL_Travel_m,FL_Slip,FL_SlipAng_deg,FL_RPM,FL_LongForce_N,FL_LatForce_N,FL_BrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_Slip,FR_SlipAng_deg,FR_RPM,FR_LongForce_N,FR_LatForce_N,FR_BrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_Slip,RL_SlipAng_deg,RL_RPM,RL_LongForce_N,RL_LatForce_N,RL_BrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_Slip,RR_SlipAng_deg,RR_RPM,RR_LongForce_N,RR_LatForce_N,RR_BrakeTrq_Nm,RR_ABS_Active
10.740,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,876,0.0,0.29,-0.03,0.00,0.01,0,0,3126,-0.001,0.560,0.02,-9,202,0,1800,1,3126,-0.001,0.559,0.02,-9,202,0,1800,1,3348,0.001,0.562,-0.02,-9,216,0,1800,1,3348,0.001,-0.562,-0.02,5,-217,0,1800,1
10.760,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,921,104.4,0.30,-0.03,0.00,0.06,0,0,3126,-0.001,-0.440,-0.12,-8,325,42,0,0,3126,-0.001,-0.428,-0.12,-8,368,42,0,0,3348,0.001,-0.493,0.11,-8,142,-42,0,0,3348,0.001,0.466,0.11,5,-249,-42,0,0
10.780,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,1043,204.1,0.31,-0.03,0.00,0.17,0,0,3126,-0.001,-0.364,-0.45,-7,416,43,0,0,3126,-0.001,-0.338,-0.45,-7,492,43,0,0,3348,0.001,-0.479,0.42,-8,76,-43,0,0,3348,0.001,0.422,0.42,4,-268,-43,0,0
10.800,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,1215,229.6,0.33,-0.03,0.00,0.22,0,0,3127,-0.001,-0.290,-0.64,-7,479,5,0,0,3127,-0.001,-0.249,-0.64,-7,577,5,0,0,3348,0.001,-0.467,0.60,-8,18,-5,0,0,3348,0.001,0.382,0.60,4,-277,-6,0,0
10.820,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,1394,239.2,0.34,-0.03,0.00,0.17,0,0,3127,-0.001,-0.220,-0.51,-6,516,-33,0,0,3127,-0.001,-0.164,-0.51,-6,628,-33,0,0,3347,0.001,-0.456,0.47,-7,-30,34,0,0,3347,0.001,0.344,0.47,3,-275,33,0,0
10.840,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,1581,249.2,0.36,-0.03,0.00,0.06,0,0,3127,-0.001,-0.155,-0.19,-5,530,-37,0,0,3128,-0.001,-0.085,-0.19,-5,652,-37,0,0,3347,0.001,-0.445,0.18,-7,-70,37,0,0,3347,0.001,0.310,0.18,3,-264,37,0,0
10.860,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,1775,259.6,0.38,-0.03,0.00,0.00,0,0,3127,-0.001,-0.097,0.01,-4,525,-6,0,0,3128,-0.001,-0.014,0.01,-4,652,-6,0,0,3346,0.001,-0.434,-0.01,-7,-104,5,0,0,3347,0.001,0.279,-0.01,3,-246,5,0,0
10.880,Launching,0.2,0.00,0.00,0.00,1.00,0.00,0.00,0,1978,270.4,0.39,-0.03,0.00,0.03,0,0,3127,-0.001,-0.046,-0.07,-4,506,29,0,0,3127,-0.001,0.048,-0.07,-3,632,29,0,0,3346,0.001,-0.422,0.07,-7,-131,-29,0,0,3346,0.001,0.252,0.07,2,-222,-29,0,0
10.900,Launching,0.2,0.02,0.00,0.00,1.00,0.00,0.05,1,2174,279.5,0.41,-0.03,0.00,0.07,0,0,3127,-0.001,0.161,-0.22,-1,838,36,0,0,3127,-0.001,0.325,-0.22,1,1096,35,0,0,3346,0.001,-0.202,0.21,-3,131,-35,0,0,3346,0.001,0.385,0.21,3,457,-35,0,0
10.920,Launching,0.0,0.32,0.00,0.00,1.00,0.00,0.15,1,2275,284.2,0.42,-0.04,0.00,-0.65,0,0,3125,-0.001,0.257,1.75,2,1589,114,0,0,3125,-0.001,0.426,1.72,5,2106,103,0,0,3349,0.001,-0.017,-1.61,0,69,-122,0,0,3349,0.001,0.263,-1.61,4,2701,-95,0,0
