===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1320 kg
0-100 km/h Time: 3.42 sec
Braking Distance (100-0): 45.7 meters
Peak Acceleration: 2.23 G
Peak Braking: 3.73 G
Peak Lateral Grip: 1.42 G
Peak Downforce Generated: 106955 N (approx 10903 kg)
Peak Engine Speed: 8347 RPM
Peak Manifold Pressure: 3.49 Bar
Top Speed Reached: 305.2 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load_N,FL_Travel_m,FL_Slip,FL_SlipAng_deg,FL_RPM,FL_LongForce_N,FL_LatForce_N,FL_BrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_Slip,FR_SlipAng_deg,FR_RPM,FR_LongForce_N,FR_LatForce_N,FR_BrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_Slip,RL_SlipAng_deg,RL_RPM,RL_LongForce_N,RL_LatForce_N,RL_BrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_Slip,RR_SlipAng_deg,RR_RPM,RR_LongForce_N,RR_LatForce_N,RR_BrakeTrq_Nm,RR_ABS_Active
22.200,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,876,0.0,0.29,-0.03,0.00,-0.01,0,0,3126,-0.001,-0.559,-0.03,4,-192,1,1800,1,3126,-0.001,0.559,-0.03,-10,193,-1,1800,1,3348,0.001,-0.560,0.03,4,-206,-1,1800,1,3348,0.001,0.560,0.03,-10,206,1,1800,1
22.220,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,921,104.4,0.30,-0.03,0.00,-0.10,0,0,3126,-0.001,0.389,0.13,3,-449,-83,0,0,3126,-0.001,-0.388,0.13,-9,449,-84,0,0,3348,0.001,0.450,-0.12,4,-298,82,0,0,3348,0.001,-0.450,-0.12,-9,298,84,0,0
22.240,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,1043,204.1,0.31,-0.03,0.00,-0.29,0,0,3126,-0.001,0.238,0.65,2,-622,-91,0,0,3126,-0.001,-0.238,0.65,-7,623,-93,0,0,3348,0.001,0.390,-0.61,3,-380,91,0,0,3348,0.001,-0.389,-0.61,-9,381,93,0,0
22.260,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,1215,229.6,0.33,-0.03,0.00,-0.38,0,0,3126,-0.001,0.089,0.94,0,-704,-25,0,0,3126,-0.001,-0.088,0.94,-6,704,-27,0,0,3349,0.001,0.332,-0.87,3,-447,26,0,0,3348,0.001,-0.331,-0.87,-8,448,27,0,0
22.280,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,1394,239.2,0.34,-0.03,0.00,-0.27,0,0,3126,-0.001,-0.044,0.64,-1,-705,50,0,0,3125,-0.001,0.045,0.63,-4,704,48,0,0,3349,0.001,0.278,-0.59,2,-495,-50,0,0,3348,0.001,-0.277,-0.59,-8,497,-48,0,0
22.300,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,1581,249.2,0.36,-0.03,0.00,-0.03,0,0,3126,-0.001,-0.156,-0.05,-3,-639,68,0,0,3125,-0.001,0.157,-0.06,-3,638,66,0,0,3349,0.001,0.224,0.05,2,-535,-68,0,0,3348,0.001,-0.222,0.05,-7,537,-66,0,0
22.320,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,1775,259.5,0.38,-0.03,0.00,0.14,0,0,3126,-0.001,-0.233,-0.59,-4,-519,17,0,0,3125,-0.001,0.234,-0.59,-1,517,14,0,0,3349,0.001,0.173,0.54,1,-564,-17,0,0,3348,0.001,-0.171,0.54,-7,565,-15,0,0
22.340,Launching,0.4,0.00,0.00,0.00,1.00,0.00,0.00,0,1978,270.4,0.39,-0.03,0.00,0.13,0,0,3126,-0.001,-0.273,-0.57,-5,-367,-53,0,0,3126,-0.001,0.273,-0.58,0,365,-55,0,0,3349,0.001,0.126,0.54,1,-577,52,0,0,3348,0.001,-0.124,0.54,-6,580,54,0,0
22.360,Launching,0.4,0.02,0.00,0.00,1.00,0.00,0.05,1,2174,279.5,0.41,-0.03,0.00,0.01,0,0,3126,-0.001,-0.090,-0.18,-3,172,-75,0,0,3126,-0.001,0.485,-0.19,3,689,-79,0,0,3349,0.001,0.159,0.17,0,-36,67,0,0,3348,0.001,0.222,0.18,0,936,77,0,0
22.380,Launching,0.1,0.32,0.00,0.00,1.00,0.00,0.15,1,2275,284.2,0.42,-0.04,0.00,-0.88,0,0,3124,-0.001,-0.007,2.41,-1,1151,83,0,0,3124,-0.001,0.377,2.42,5,1663,76,0,0,3351,0.001,0.091,-2.27,0,190,-85,0,0,3351,0.001,0.394,-2.27,5,2696,-65,0,0
22.400,Launching,0.3,0.64,0.00,0.00,1.00,0.00,0.25,1,2263,284.1,0.44,-0.06,0.00,-1.81,0,0,3087,-0.001,0.053,5.30,3,2000,493,0,0,3085,-0.001,0.134,5.22,5,2878,387,0,0,3387,0.001,0.114,-4.90,3,825,-550,0,0,3386,0.001,1.055,-4.82,17,4073,-217,0,0
22.420,Launching,0.9,0.88,-0.01,0.00,1.00,0.00,0.23,1,2179,280.0,0.45,-0.10,0.00,-2.10,0,0,2999,-0.002,-0.566,6.44,-2,2339,928,0,0,2995,-0.002,0.269,6.33,8,3718,372,0,0,3469,0.002,-0.019,-5.57,4,1651,-1115,0,0,3465,0.002,1.321,-5.73,22,4423,-224,0,0
22.440,Launching,1.5,0.74,-0.01,0.00,1.00,0.00,0.20,1,2156,278.9,0.46,-0.13,0.00,-2.18,2,0,2863,-0.002,0.045,7.11,9,1728,1446,0,0,2860,-0.003,-1.532,7.19,-7,2359,1280,0,0,3582,0.002,0.354,-5.93,11,866,-1668,0,0,3579,0.002,-0.876,-5.97,0,4447,-549,0,0
22.460,Launching,1.8,0.52,-0.05,0.00,1.00,0.00,0.19,1,2150,278.2,0.48,-0.15,-0.01,0.39,3,0,2719,-0.003,-0.030,0.78,13,1612,1541,0,0,2721,-0.003,0.643,1.02,19,3092,911,0,0,3674,0.003,0.712,2.27,20,1181,-1781,0,0,3676,0.003,1.554,2.20,31,3840,-1163,0,0
22.480,Launching,2.3,0.69,-0.03,0.00,1.00,0.00,0.19,1,2149,278.1,0.49,-0.16,-0.01,1.31,5,0,2609,-0.004,-0.189,-0.88,14,1355,1415,0,0,2636,-0.004,-0.849,-0.91,2,2707,1015,0,0,3708,0.003,0.356,4.40,24,-595,-1247,0,0,3734,0.003,-0.380,4.67,11,3739,-862,0,0
22.500,Launching,2.7,0.56,0.06,0.00,1.00,0.00,0.19,1,2148,278.3,0.50,-0.16,-0.01,2.50,7,1,2549,-0.005,0.087,-4.02,21,1780,1063,0,0,2601,-0.004,0.578,-4.37,28,2392,916,0,0,3725,0.003,-0.038,5.06,20,-71,-545,0,0,3776,0.004,0.262,5.56,22,3830,-343,0,0
22.520,Launching,3.2,0.65,0.09,0.00,1.00,0.00,0.19,1,2148,278.3,0.51,-0.15,0.00,1.80,9,1,2570,-0.004,0.020,-3.66,24,1364,775,0,0,2607,-0.004,-0.263,-3.85,15,2625,529,0,0,3736,0.003,-0.057,2.23,21,-38,-55,0,0,3774,0.004,0.022,2.37,22,4084,34,0,0
22.540,Launching,3.6,0.58,0.09,0.00,1.00,0.00,0.19,1,2149,278.7,0.53,-0.14,0.02,0.65,12,1,2627,-0.004,0.138,-2.86,28,1697,416,0,0,2618,-0.004,0.240,-2.86,31,2059,345,0,0,3758,0.003,-0.004,-0.70,25,33,28,0,0,3749,0.003,0.043,-0.75,26,3998,80,0,0
22.560,Launching,4.0,0.62,0.03,0.00,1.00,0.00,0.19,1,2149,278.8,0.54,-0.14,0.02,-0.79,15,1,2708,-0.004,0.113,-1.01,31,1482,214,0,0,2638,-0.004,0.010,-0.96,28,2560,105,0,0,3775,0.004,-0.024,-2.81,27,43,-222,0,0,3705,0.003,0.010,-2.78,28,3961,-93,0,0
22.580,Launching,4.4,0.60,-0.03,0.00,1.00,0.00,0.19,1,2149,278.8,0.55,-0.13,0.02,-1.88,18,1,2768,-0.003,0.064,0.79,32,1570,201,0,0,2660,-0.004,0.068,0.80,35,2095,122,0,0,3781,0.004,0.000,-3.59,30,152,-686,0,0,3672,0.003,0.042,-3.45,33,3858,-413,0,0
22.600,Launching,4.9,0.61,-0.08,0.00,1.00,0.00,0.19,1,2149,278.5,0.56,-0.13,0.01,-2.28,21,2,2799,-0.003,0.050,1.98,35,1614,370,0,0,2691,-0.004,0.106,1.93,38,2477,255,0,0,3768,0.004,0.005,-3.05,33,171,-1118,0,0,3661,0.003,0.058,-2.92,37,3765,-736,0,0
22.620,Launching,5.3,0.61,-0.09,0.00,1.00,0.00,0.19,1,2149,278.5,0.57,-0.12,0.00,-2.00,25,2,2796,-0.003,0.017,2.31,37,1504,629,0,0,2733,-0.003,0.061,2.27,41,2167,517,0,0,3738,0.003,0.021,-1.83,37,212,-1380,0,0,3674,0.003,0.089,-1.78,41,3718,-948,0,0
22.640,Launching,5.7,0.61,-0.08,0.00,1.00,0.00,0.19,1,2148,278.1,0.58,-0.12,-0.02,-1.19,29,2,2772,-0.003,0.016,2.00,40,1649,835,0,0,2777,-0.003,0.111,2.03,45,2444,694,0,0,3700,0.003,0.016,-0.41,40,160,-1394,0,0,3704,0.003,0.087,-0.44,44,3723,-986,0,0
22.660,Launching,6.1,0.61,-0.04,0.01,1.00,0.00,0.19,1,2148,278.1,0.59,-0.12,-0.03,-0.33,34,3,2745,-0.003,0.020,1.33,44,1500,967,0,0,2819,-0.003,0.058,1.40,46,2236,882,0,0,3658,0.003,0.011,0.55,43,147,-1199,0,0,3732,0.003,0.084,0.52,47,3774,-854,0,0
22.680,Launching,6.6,0.61,0.01,0.01,1.00,0.00,0.19,1,2148,277.9,0.60,-0.12,-0.03,0.33,39,3,2721,-0.003,0.013,0.63,46,1633,959,0,0,2845,-0.003,0.074,0.74,49,2446,872,0,0,3626,0.003,0.004,0.95,46,97,-883,0,0,3750,0.003,0.070,0.93,49,3813,-625,0,0
22.700,Launching,7.0,0.61,0.05,0.01,1.00,0.00,0.19,1,2148,278.0,0.61,-0.12,-0.03,0.52,44,3,2711,-0.004,0.029,0.13,51,1521,897,0,0,2849,-0.003,0.024,0.23,50,2329,849,0,0,3616,0.003,0.000,0.75,49,111,-576,0,0,3754,0.003,0.062,0.74,52,3843,-391,0,0
22.720,Launching,7.4,0.61,0.07,0.01,1.00,0.00,0.19,1,2148,278.0,0.62,-0.12,-0.01,0.36,50,4,2720,-0.003,0.029,-0.16,53,1611,759,0,0,2833,-0.003,0.044,-0.06,54,2432,708,0,0,3633,0.003,-0.001,0.22,52,116,-383,0,0,3746,0.003,0.056,0.22,55,3838,-245,0,0
22.740,Launching,7.9,0.61,0.06,0.01,1.00,0.00,0.19,1,2148,278.1,0.63,-0.13,0.00,-0.12,56,4,2744,-0.003,0.042,-0.15,57,1549,627,0,0,2804,-0.003,0.018,-0.07,56,2382,584,0,0,3666,0.003,-0.004,-0.40,55,154,-354,0,0,3726,0.003,0.052,-0.42,58,3823,-224,0,0
22.760,Launching,8.3,0.61,0.03,0.01,1.00,0.00,0.19,1,2148,278.1,0.64,-0.13,0.01,-0.64,62,5,2766,-0.003,0.029,0.02,59,1590,516,0,0,2767,-0.003,0.034,0.12,60,2410,477,0,0,3704,0.003,-0.001,-0.87,58,189,-472,0,0,3705,0.003,0.053,-0.88,61,3783,-315,0,0
22.780,Launching,8.7,0.61,0.00,0.01,1.00,0.00,0.19,1,2148,278.0,0.65,-0.13,0.02,-1.06,68,5,2786,-0.003,0.037,0.30,63,1578,473,0,0,2738,-0.003,0.032,0.41,63,2378,442,0,0,3736,0.003,0.002,-1.08,61,223,-664,0,0,3688,0.003,0.056,-1.08,65,3739,-461,0,0
22.800,Launching,9.1,0.60,-0.03,0.01,1.00,0.00,0.19,1,2148,277.9,0.66,-0.13,0.01,-1.21,75,6,2795,-0.003,0.026,0.54,65,1573,494,0,0,2726,-0.003,0.045,0.65,67,2361,466,0,0,3753,0.003,0.005,-1.00,64,245,-843,0,0,3683,0.003,0.061,-1.01,68,3700,-600,0,0
22.820,Launching,9.6,0.60,-0.04,0.01,0.99,0.00,0.19,1,2148,277.9,0.67,-0.13,0.01,-1.14,83,6,2794,-0.003,0.025,0.67,68,1584,548,0,0,2731,-0.003,0.050,0.77,71,2348,521,0,0,3754,0.003,0.008,-0.75,67,254,-943,0,0,3691,0.003,0.066,-0.77,72,3675,-684,0,0
22.840,Launching,10.0,0.60,-0.04,0.01,0.99,0.00,0.19,1,2148,277.6,0.67,-0.13,0.00,-0.93,90,7,2786,-0.003,0.025,0.72,71,1570,616,0,0,2750,-0.003,0.058,0.84,74,2326,600,0,0,3743,0.003,0.009,-0.47,70,251,-944,0,0,3708,0.003,0.068,-0.49,75,3666,-696,0,0
22.860,Launching,10.4,0.61,-0.02,0.01,0.99,0.00,0.19,1,2148,277.6,0.68,-0.13,-0.01,-0.67,98,8,2771,-0.003,0.022,0.63,74,1580,657,0,0,2772,-0.003,0.054,0.76,77,2348,650,0,0,3727,0.003,0.009,-0.26,73,244,-868,0,0,3728,0.003,0.067,-0.28,78,3669,-648,0,0
22.880,Launching,10.9,0.61,0.00,0.01,0.99,0.00,0.18,1,2148,277.4,0.69,-0.13,-0.01,-0.48,106,8,2763,-0.003,0.027,0.54,78,1575,673,0,0,2791,-0.003,0.052,0.69,80,2337,685,0,0,3715,0.003,0.006,-0.16,76,241,-756,0,0,3743,0.003,0.063,-0.18,81,3679,-567,0,0
22.900,Launching,11.3,0.61,0.01,0.01,0.99,0.00,0.18,1,2148,277.4,0.70,-0.13,-0.01,-0.42,115,9,2758,-0.003,0.023,0.45,80,1575,659,0,0,2798,-0.003,0.044,0.60,82,2371,680,0,0,3712,0.003,0.004,-0.18,79,245,-654,0,0,3751,0.003,0.059,-0.20,84,3684,-491,0,0
22.920,Launching,11.7,0.60,0.02,0.01,0.99,0.00,0.18,1,2148,277.4,0.70,-0.13,-0.01,-0.48,123,10,2758,-0.003,0.027,0.38,84,1580,626,0,0,2796,-0.003,0.043,0.53,85,2357,662,0,0,3715,0.003,0.004,-0.28,82,256,-596,0,0,3754,0.003,0.058,-0.30,87,3680,-447,0,0
22.940,Launching,12.1,0.60,0.02,0.01,0.99,0.00,0.18,1,2148,277.3,0.71,-0.13,0.00,-0.58,133,10,2761,-0.003,0.027,0.36,87,1577,591,0,0,2789,-0.003,0.041,0.51,88,2371,633,0,0,3724,0.003,0.003,-0.40,85,268,-589,0,0,3752,0.003,0.056,-0.41,90,3669,-443,0,0
22.960,Launching,12.6,0.60,0.01,0.01,0.99,0.00,0.18,1,2148,277.3,0.72,-0.13,0.00,-0.70,142,11,2767,-0.003,0.028,0.35,90,1580,557,0,0,2778,-0.003,0.041,0.51,92,2364,607,0,0,3734,0.003,0.003,-0.48,88,285,-622,0,0,3746,0.003,0.055,-0.50,93,3657,-469,0,0
22.980,Launching,13.0,0.60,0.00,0.01,0.99,0.00,0.18,1,2148,277.2,0.73,-0.13,0.00,-0.77,152,12,2776,-0.003,0.029,0.38,93,1578,540,0,0,2772,-0.003,0.044,0.55,95,2357,597,0,0,3746,0.003,0.004,-0.52,91,300,-671,0,0,3742,0.003,0.057,-0.54,96,3639,-509,0,0
23.000,Launching,13.4,0.60,0.00,0.01,0.99,0.00,0.18,1,2148,277.1,0.73,-0.13,0.00,-0.79,162,13,2781,-0.003,0.026,0.40,96,1575,533,0,0,2770,-0.003,0.044,0.58,98,2355,598,0,0,3755,0.003,0.005,-0.51,94,307,-713,0,0,3743,0.003,0.057,-0.52,99,3623,-545,0,0
23.020,Launching,13.8,0.60,-0.01,0.01,0.99,0.00,0.18,1,2148,277.1,0.74,-0.13,0.00,-0.76,173,14,2785,-0.003,0.027,0.40,99,1580,529,0,0,2773,-0.003,0.046,0.58,101,2345,603,0,0,3760,0.003,0.006,-0.47,97,317,-734,0,0,3748,0.003,0.058,-0.49,103,3613,-564,0,0
23.040,Launching,14.3,0.60,-0.01,0.01,0.99,0.00,0.18,1,2148,276.9,0.74,-0.13,0.00,-0.71,183,14,2785,-0.003,0.025,0.43,102,1574,535,0,0,2776,-0.003,0.045,0.62,104,2352,616,0,0,3763,0.004,0.005,-0.42,100,318,-731,0,0,3754,0.003,0.057,-0.44,106,3605,-564,0,0
23.060,Launching,14.7,0.60,-0.01,0.01,0.99,0.00,0.18,1,2148,276.9,0.75,-0.13,0.00,-0.66,194,15,2783,-0.003,0.025,0.42,105,1580,535,0,0,2780,-0.003,0.045,0.61,108,2345,626,0,0,3766,0.004,0.006,-0.38,103,329,-712,0,0,3763,0.004,0.058,-0.40,109,3598,-552,0,0
23.080,Launching,15.1,0.60,0.00,0.01,0.99,0.00,0.18,1,2148,276.8,0.76,-0.13,0.00,-0.62,206,16,2781,-0.003,0.025,0.42,108,1575,538,0,0,2784,-0.003,0.045,0.62,111,2346,638,0,0,3767,0.004,0.005,-0.36,106,325,-685,0,0,3770,0.004,0.056,-0.38,112,3593,-533,0,0
23.100,Launching,15.5,0.60,0.00,0.01,0.99,0.00,0.18,1,2148,276.7,0.76,-0.13,0.00,-0.60,218,17,2781,-0.003,0.026,0.40,111,1579,535,0,0,2787,-0.003,0.044,0.61,114,2349,644,0,0,3770,0.004,0.005,-0.36,109,339,-663,0,0,3776,0.004,0.056,-0.38,115,3589,-517,0,0
23.120,Launching,16.0,0.60,0.00,0.01,0.99,0.00,0.18,1,2148,276.7,0.77,-0.13,0.00,-0.59,230,18,2786,-0.003,0.027,0.38,114,1577,525,0,0,2791,-0.003,0.046,0.59,117,2339,644,0,0,3777,0.004,0.006,-0.37,112,343,-649,0,0,3782,0.004,0.056,-0.39,118,3580,-508,0,0
23.140,Launching,16.4,0.60,0.00,0.01,0.99,0.00,0.18,1,2148,276.6,0.77,-0.13,0.00,-0.59,242,19,2791,-0.003,0.026,0.38,117,1574,517,0,0,2797,-0.003,0.045,0.60,120,2344,645,0,0,3782,0.004,0.005,-0.38,115,346,-644,0,0,3787,0.004,0.054,-0.40,121,3574,-507,0,0
23.160,Launching,16.8,0.60,0.00,0.01,0.99,0.00,0.18,1,2147,276.5,0.78,-0.13,0.00,-0.59,255,20,2797,-0.003,0.027,0.37,120,1578,507,0,0,2800,-0.003,0.044,0.59,123,2344,644,0,0,3789,0.004,0.006,-0.39,118,359,-647,0,0,3792,0.004,0.055,-0.41,124,3568,-511,0,0
23.180,Launching,17.2,0.60,0.00,0.01,0.99,0.00,0.18,1,2147,276.5,0.78,-0.13,0.00,-0.58,268,21,2801,-0.003,0.026,0.35,123,1575,494,0,0,2803,-0.003,0.044,0.58,126,2345,637,0,0,3792,0.004,0.005,-0.39,121,357,-650,0,0,3794,0.004,0.053,-0.42,127,3561,-515,0,0
23.200,Launching,17.7,0.60,0.00,0.01,0.99,0.00,0.18,1,2147,276.4,0.79,-0.13,0.00,-0.59,281,22,2803,-0.003,0.025,0.36,126,1577,488,0,0,2804,-0.003,0.044,0.60,129,2343,640,0,0,3795,0.004,0.005,-0.40,124,374,-656,0,0,3797,0.004,0.054,-0.42,130,3554,-521,0,0
23.220,Launching,18.1,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.4,0.79,-0.13,0.00,-0.58,295,23,2799,-0.003,0.024,0.36,129,1578,480,0,0,2802,-0.003,0.042,0.59,132,2350,637,0,0,3797,0.004,0.005,-0.39,127,373,-659,0,0,3800,0.004,0.053,-0.41,133,3544,-526,0,0
23.240,Launching,18.5,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.3,0.80,-0.13,0.00,-0.56,309,24,2797,-0.003,0.025,0.37,132,1579,480,0,0,2801,-0.003,0.043,0.62,135,2342,645,0,0,3802,0.004,0.006,-0.38,130,385,-658,0,0,3806,0.004,0.053,-0.41,136,3538,-527,0,0
23.260,Launching,18.9,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.2,0.80,-0.14,0.00,-0.53,323,25,2795,-0.003,0.025,0.36,135,1576,479,0,0,2802,-0.003,0.044,0.62,138,2343,651,0,0,3805,0.004,0.006,-0.38,133,385,-653,0,0,3812,0.004,0.053,-0.40,139,3530,-525,0,0
23.280,Launching,19.4,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.2,0.81,-0.14,0.00,-0.51,338,27,2794,-0.003,0.025,0.35,138,1579,472,0,0,2802,-0.003,0.043,0.60,141,2342,650,0,0,3810,0.004,0.006,-0.37,136,395,-648,0,0,3818,0.004,0.053,-0.39,143,3526,-522,0,0
23.300,Launching,19.8,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.1,0.81,-0.14,0.00,-0.48,353,28,2797,-0.003,0.026,0.35,142,1577,470,0,0,2803,-0.003,0.044,0.62,144,2339,655,0,0,3817,0.004,0.006,-0.37,139,397,-642,0,0,3824,0.004,0.052,-0.39,146,3520,-519,0,0
23.320,Launching,20.2,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.1,0.82,-0.14,0.00,-0.46,368,29,2798,-0.003,0.025,0.35,144,1576,466,0,0,2803,-0.003,0.043,0.62,147,2343,656,0,0,3825,0.004,0.006,-0.36,142,404,-636,0,0,3830,0.004,0.052,-0.39,149,3515,-515,0,0
23.340,Launching,20.6,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.0,0.82,-0.14,0.00,-0.45,384,30,2802,-0.003,0.026,0.34,148,1579,458,0,0,2803,-0.003,0.043,0.61,150,2339,654,0,0,3833,0.004,0.006,-0.36,145,408,-632,0,0,3835,0.004,0.052,-0.39,152,3509,-513,0,0
23.360,Launching,21.1,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.0,0.83,-0.14,0.00,-0.43,400,31,2804,-0.003,0.025,0.35,151,1576,457,0,0,2804,-0.003,0.043,0.62,154,2339,658,0,0,3842,0.004,0.006,-0.36,148,417,-629,0,0,3842,0.004,0.052,-0.38,155,3503,-513,0,0
23.380,Launching,21.5,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,276.0,0.83,-0.14,0.00,-0.40,416,33,2806,-0.003,0.026,0.33,154,1577,450,0,0,2808,-0.003,0.044,0.61,157,2331,658,0,0,3848,0.004,0.006,-0.36,151,418,-626,0,0,3849,0.004,0.051,-0.38,158,3496,-512,0,0
23.400,Launching,21.9,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,275.9,0.83,-0.14,0.00,-0.38,433,34,2811,-0.003,0.026,0.34,157,1576,448,0,0,2815,-0.003,0.044,0.62,160,2331,663,0,0,3853,0.004,0.006,-0.36,154,423,-623,0,0,3857,0.004,0.051,-0.38,161,3492,-512,0,0
23.420,Launching,22.3,0.60,0.00,0.02,0.99,0.00,0.18,1,2147,275.8,0.84,-0.14,0.00,-0.36,449,35,2813,-0.003,0.025,0.33,160,1576,443,0,0,2819,-0.003,0.043,0.61,163,2336,664,0,0,3859,0.004,0.006,-0.35,157,430,-622,0,0,3865,0.004,0.051,-0.38,164,3487,-513,0,0
