===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1440 kg
0-100 km/h Time: 4.24 sec
Braking Distance (100-0): 36.8 meters
Peak Acceleration: 1.25 G
Peak Braking: 2.47 G
Peak Lateral Grip: 2.56 G
Peak Downforce Generated: 3423 N (approx 349 kg)
Peak Engine Speed: 8655 RPM
Peak Manifold Pressure: 2.80 Bar
Top Speed Reached: 120.0 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load_N,FL_Travel_m,FL_Slip,FL_SlipAng_deg,FL_RPM,FL_LongForce_N,FL_LatForce_N,FL_BrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_Slip,FR_SlipAng_deg,FR_RPM,FR_LongForce_N,FR_LatForce_N,FR_BrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_Slip,RL_SlipAng_deg,RL_RPM,RL_LongForce_N,RL_LatForce_N,RL_BrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_Slip,RR_SlipAng_deg,RR_RPM,RR_LongForce_N,RR_LatForce_N,RR_BrakeTrq_Nm,RR_ABS_Active
3.480,Launching,0.1,0.00,0.00,0.00,1.00,0.00,0.00,1,889,0.0,0.13,-0.37,0.00,0.01,0,0,3173,0.070,0.688,0.23,18,3054,478,900,1,3175,0.070,0.324,0.23,-6,3956,479,900,1,3906,0.087,0.142,-0.19,-61,5620,-494,4500,0,3907,0.087,-1.047,-0.19,-41,-3116,-494,900,1
3.500,Launching,0.3,-0.16,0.00,0.00,1.00,0.00,0.00,1,938,104.5,1.00,-0.37,0.00,-0.01,0,0,3181,0.070,-0.199,0.00,2,-4401,3,0,0,3182,0.071,-0.070,0.00,10,-4349,3,0,0,3895,0.087,-0.063,0.00,13,-5177,-1,0,0,3896,0.087,-0.257,0.00,2,-5135,-1,0,0
3.520,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,1050,108.5,1.03,-0.37,0.00,0.01,0,0,3163,0.070,0.076,0.00,-13,4407,5,0,0,3164,0.070,0.204,0.00,-6,4361,5,0,0,3908,0.087,0.259,0.00,-5,5145,-5,0,0,3909,0.087,0.058,0.00,-16,5034,-5,0,0
3.540,Launching,0.3,-0.10,0.00,0.00,1.00,0.00,0.00,1,1169,115.7,1.05,-0.37,0.00,-0.01,0,0,3199,0.071,-0.202,0.00,2,-4415,-1,0,0,3199,0.071,-0.070,0.00,10,-4376,-1,0,0,3870,0.087,-0.063,0.00,13,-5130,1,0,0,3870,0.087,-0.259,0.00,1,-5091,1,0,0
3.560,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,1297,123.6,1.07,-0.36,0.00,0.01,0,0,3183,0.071,0.075,0.00,-13,4424,1,0,0,3184,0.071,0.205,0.00,-6,4383,1,0,0,3885,0.087,0.257,0.00,-5,5121,-1,0,0,3885,0.087,0.062,0.00,-16,5134,-1,0,0
3.580,Launching,0.3,-0.10,0.00,0.00,1.00,0.00,0.00,1,1432,132.1,1.10,-0.36,0.00,0.00,0,0,3216,0.071,-0.203,0.00,2,-4433,-4,0,0,3216,0.071,-0.070,0.00,10,-4393,-4,0,0,3848,0.087,-0.063,0.00,13,-5107,4,0,0,3849,0.087,-0.255,0.00,1,-5081,4,0,0
3.600,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,1578,141.3,1.12,-0.35,0.00,0.01,0,0,3199,0.071,0.075,0.00,-13,4441,3,0,0,3200,0.071,0.206,0.00,-6,4400,3,0,0,3866,0.086,0.255,0.00,-5,5102,-3,0,0,3866,0.086,0.060,0.00,-16,5050,-3,0,0
3.620,Launching,0.3,-0.10,0.00,0.00,1.00,0.00,0.00,1,1733,151.2,1.14,-0.35,0.00,-0.01,0,0,3230,0.071,-0.205,0.00,2,-4448,-3,0,0,3231,0.071,-0.069,0.00,10,-4409,-3,0,0,3832,0.086,-0.063,0.00,13,-5091,3,0,0,3832,0.086,-0.255,0.00,1,-5059,3,0,0
3.640,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,1900,162.1,1.17,-0.34,0.00,0.01,0,0,3212,0.071,0.074,0.00,-14,4455,2,0,0,3213,0.071,0.208,0.00,-6,4414,2,0,0,3852,0.086,0.254,0.00,-5,5088,-2,0,0,3852,0.086,0.061,0.00,-16,5059,-2,0,0
3.660,Launching,0.3,-0.10,0.00,0.00,1.00,0.00,0.00,1,2078,173.1,1.20,-0.34,0.00,-0.01,0,0,3242,0.071,-0.206,0.00,2,-4460,-3,0,0,3242,0.071,-0.069,0.00,10,-4420,-3,0,0,3820,0.086,-0.063,0.00,12,-5079,3,0,0,3820,0.086,-0.254,0.00,1,-5049,3,0,0
3.680,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,2268,183.5,1.22,-0.33,0.00,0.01,0,0,3221,0.071,0.074,0.00,-14,4464,3,0,0,3222,0.071,0.208,0.00,-6,4423,3,0,0,3842,0.086,0.254,0.00,-5,5079,-3,0,0,3842,0.086,0.061,0.00,-16,5045,-3,0,0
3.700,Launching,0.3,-0.10,0.00,0.00,1.00,0.00,0.00,1,2469,194.8,1.25,-0.32,0.00,-0.01,0,0,3249,0.072,-0.206,0.00,2,-4468,-2,0,0,3249,0.072,-0.069,0.00,10,-4428,-2,0,0,3813,0.086,-0.063,0.00,12,-5072,2,0,0,3813,0.086,-0.254,0.00,1,-5041,2,0,0
3.720,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,2682,207.0,1.28,-0.32,0.00,0.01,0,0,3227,0.072,0.074,0.00,-14,4469,3,0,0,3227,0.072,0.209,0.00,-6,4429,3,0,0,3837,0.086,0.253,0.00,-5,5074,-3,0,0,3837,0.086,0.061,0.00,-16,5041,-3,0,0
3.740,Launching,0.3,-0.10,0.00,0.00,1.00,0.00,0.00,1,2909,220.2,1.31,-0.32,0.00,-0.01,0,0,3252,0.072,-0.207,0.00,2,-4471,-2,0,0,3252,0.072,-0.069,0.00,10,-4431,-2,0,0,3809,0.086,-0.063,0.00,12,-5069,2,0,0,3809,0.086,-0.253,0.00,1,-5037,2,0,0
3.760,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,3150,232.8,1.34,-0.31,0.00,0.01,0,0,3229,0.072,0.074,0.00,-14,4471,3,0,0,3229,0.072,0.209,0.00,-6,4431,3,0,0,3835,0.085,0.253,0.00,-6,5072,-3,0,0,3835,0.085,0.061,0.00,-17,5039,-3,0,0
3.780,Launching,0.3,-0.09,0.00,0.00,1.00,0.00,0.00,1,3404,244.9,1.37,-0.31,0.00,-0.01,0,0,3253,0.072,-0.207,0.00,2,-4472,-2,0,0,3253,0.072,-0.069,0.00,10,-4431,-2,0,0,3809,0.085,-0.063,0.00,12,-5068,2,0,0,3809,0.085,-0.253,0.00,1,-5036,2,0,0
3.800,Launching,0.2,0.08,0.00,0.00,1.00,0.00,0.00,1,3671,257.9,1.40,-0.31,0.00,0.01,0,0,3227,0.072,0.074,0.00,-14,4471,3,0,0,3226,0.072,0.209,0.00,-6,4428,3,0,0,3836,0.085,0.253,0.00,-6,5072,-3,0,0,3835,0.085,0.061,0.00,-17,5039,-3,0,0
3.820,Launching,0.3,-0.09,0.00,0.00,1.00,0.00,0.00,1,3953,272.0,1.44,-0.31,0.00,-0.01,0,0,3252,0.072,-0.206,0.00,2,-4472,-2,0,0,3251,0.072,-0.069,0.00,10,-4427,-2,0,0,3810,0.085,-0.063,0.00,12,-5070,2,0,0,3810,0.085,-0.253,0.00,1,-5037,2,0,0
3.840,Launching,0.3,0.08,0.00,0.00,1.00,0.00,0.00,1,4248,283.9,1.48,-0.30,0.00,0.01,0,0,3223,0.072,0.074,0.00,-14,4469,3,0,0,3223,0.072,0.209,0.00,-6,4423,3,0,0,3838,0.085,0.253,0.00,-6,5074,-3,0,0,3837,0.085,0.061,0.00,-17,5041,-3,0,0
3.860,Launching,0.3,-0.09,0.00,0.00,1.00,0.00,0.01,1,4555,294.8,1.52,-0.30,0.00,-0.01,0,0,3249,0.072,-0.203,0.00,2,-4482,-3,0,0,3249,0.072,-0.065,0.00,10,-4362,-3,0,0,3813,0.085,-0.061,0.00,12,-5008,3,0,0,3813,0.085,-0.251,0.00,2,-5051,3,0,0
3.880,Launching,0.2,0.16,0.00,0.00,1.00,0.00,0.11,1,4813,298.8,1.56,-0.30,0.00,-0.03,0,0,3255,0.072,0.222,0.00,-4,4419,5,0,0,3255,0.072,0.246,0.00,-2,4332,5,0,0,3806,0.085,-0.013,0.00,8,-1642,-4,0,0,3806,0.085,-0.002,0.00,4,-289,-4,0,0
3.900,Launching,0.0,0.31,0.00,0.00,1.00,0.00,0.21,1,4992,304.7,1.61,-0.28,0.00,-0.22,0,0,3329,0.072,-0.032,-0.02,13,-3112,-49,0,0,3329,0.072,0.234,-0.02,2,4474,-49,0,0,3729,0.085,0.337,0.02,10,4598,47,0,0,3729,0.085,0.137,0.02,-5,5378,47,0,0
3.920,Launching,0.4,0.51,0.00,0.00,1.00,0.00,0.31,1,5093,312.4,1.65,-0.24,0.00,0.22,0,0,3452,0.073,0.114,-0.17,-2,5005,-384,0,0,3450,0.073,0.300,-0.17,11,4386,-384,0,0,3606,0.084,0.240,0.14,10,4822,324,0,0,3605,0.084,0.377,0.14,19,4304,324,0,0
3.940,Launching,0.9,0.74,0.00,0.00,1.00,0.00,0.41,1,5119,321.8,1.70,-0.17,0.00,0.14,0,0,3638,0.075,0.080,-0.08,1,5121,-198,0,0,3639,0.075,0.312,-0.08,16,4580,-199,0,0,3415,0.083,0.054,0.07,10,4284,155,0,0,3417,0.083,0.041,0.07,11,3728,155,0,0
3.960,Launching,1.5,0.88,0.00,0.00,1.00,0.00,0.51,1,5070,332.8,1.75,-0.08,0.00,0.24,0,0,3864,0.077,0.029,0.05,13,3323,119,0,0,3866,0.077,-0.070,0.05,37,-5280,119,0,0,3186,0.081,0.086,-0.04,18,4531,-77,0,0,3188,0.081,0.084,-0.04,18,4517,-77,0,0
3.980,Launching,2.2,0.94,0.00,0.00,1.00,0.00,0.49,1,4989,344.5,1.80,0.03,0.00,-0.06,0,0,4075,0.079,0.008,-0.04,26,1169,-120,0,0,4077,0.079,0.219,-0.04,23,5550,-119,0,0,2976,0.079,0.681,0.05,61,2876,90,0,0,2979,0.079,0.661,0.05,60,2915,91,0,0
