Time_s,Speed_Kmh,YawRate_deg,Pitch_deg,Roll_deg,EngineRPM,Gear,NetTorque,FL_Load_N,FL_Travel_m,FL_SlipLong,FL_SlipAngle_deg,FL_DynamicToe_deg,FL_ForceLong_N,FL_ForceLat_N,FR_Load_N,FR_Travel_m,FR_SlipLong,FR_SlipAngle_deg,FR_DynamicToe_deg,FR_ForceLong_N,FR_ForceLat_N,RL_Load_N,RL_Travel_m,RL_SlipLong,RL_SlipAngle_deg,RL_DynamicToe_deg,RL_ForceLong_N,RL_ForceLat_N,RR_Load_N,RR_Travel_m,RR_SlipLong,RR_SlipAngle_deg,RR_DynamicToe_deg,RR_ForceLong_N,RR_ForceLat_N
0.020,1.6,4.043,0.896,0.359,1057,0,100.6,6081,0.0548,0.0066,-8.8091,-6.2821,-238,1320,5572,0.0456,-0.0147,-7.1105,5.2210,158,1128,3374,0.0068,0.0217,9.7874,1.1772,-12,45,2957,-0.0024,-0.0185,9.0202,0.4145,6,-179
0.040,1.8,2.836,0.653,0.358,1192,0,109.8,5373,0.0420,0.0634,-8.7224,-4.8077,-59,-1022,4857,0.0326,0.0066,-7.8491,3.7315,-117,-855,3179,0.0025,0.0094,6.7110,0.4316,20,1182,2756,-0.0069,0.0446,5.6574,1.1827,15,751
0.060,1.8,-0.824,0.377,0.361,1338,0,119.9,4552,0.0270,0.0002,0.2783,-3.0963,70,-1520,4036,0.0176,-0.0113,3.2554,2.0213,-50,-862,2988,-0.0017,-0.0400,-2.1191,-0.2973,-57,1230,2566,-0.0111,-0.0202,-1.8708,1.9099,-118,860
0.080,1.8,-2.759,0.087,0.358,1498,0,131.0,3674,0.0111,-0.0521,5.6535,-1.2679,-59,-624,3154,0.0016,-0.0053,8.5679,0.1846,-56,207,2818,-0.0055,0.0133,-7.9322,-0.9475,11,399,2392,-0.0150,-0.0335,-8.1945,2.5726,-76,125
0.100,1.6,-1.894,-0.197,0.333,1669,0,136.3,2792,-0.0050,0.0177,4.6739,0.5697,75,170,2276,-0.0143,-0.0430,5.2239,-1.6442,5,674,2670,-0.0088,-0.0051,-6.0941,-1.5101,33,-483,2248,-0.0182,-0.0397,-6.5262,3.1219,-26,-633
0.120,1.4,0.097,-0.454,0.278,1846,0,141.2,1951,-0.0203,-0.0132,1.6253,2.3217,9,344,1472,-0.0290,0.0223,2.3928,-3.3210,102,611,2544,-0.0116,0.0124,0.4477,-1.9931,-45,-676,2151,-0.0203,-0.0612,0.2944,3.4921,-4,-780
0.140,1.0,1.503,-0.668,0.200,2029,0,146.3,1200,-0.0339,0.0161,-0.5330,3.8875,-22,205,799,-0.0412,0.0040,0.0500,-4.7225,2,332,2439,-0.0139,-0.0162,5.8697,-2.3942,27,-208,2111,-0.0212,0.0055,5.9083,3.6467,-32,-374
0.160,0.6,1.538,-0.822,0.117,2219,0,151.6,588,-0.0451,0.0412,-1.3456,5.1626,-12,61,300,-0.0503,0.0060,-1.0955,-5.7619,15,103,2362,-0.0156,-0.0422,6.3022,-2.6886,36,470,2126,-0.0209,-0.0039,6.5441,3.5875,47,265
0.180,0.2,0.431,-0.902,0.048,2416,0,157.0,165,-0.0527,0.0305,-1.3459,6.0434,25,5,0,-0.0558,0.0057,-0.9346,-6.3938,0,0,2320,-0.0166,0.0036,1.5332,-2.8497,-40,773,2182,-0.0196,0.0014,1.9771,3.3753,53,619
0.200,0.3,-0.770,-0.902,0.000,2619,0,161.1,0,-0.0563,0.0703,-1.2516,6.4531,0,0,0,-0.0576,-0.0132,-1.5852,-6.5985,0,0,2317,-0.0166,-0.0127,-4.4627,-2.8583,67,494,2260,-0.0179,0.0007,-4.3296,3.0764,44,387
