Time_s,Speed_Kmh,YawRate_deg,Pitch_deg,Roll_deg,EngineRPM,Gear,NetTorque,FL_Load_N,FL_Travel_m,FL_SlipLong,FL_SlipAngle_deg,FL_DynamicToe_deg,FL_ForceLong_N,FL_ForceLat_N,FR_Load_N,FR_Travel_m,FR_SlipLong,FR_SlipAngle_deg,FR_DynamicToe_deg,FR_ForceLong_N,FR_ForceLat_N,RL_Load_N,RL_Travel_m,RL_SlipLong,RL_SlipAngle_deg,RL_DynamicToe_deg,RL_ForceLong_N,RL_ForceLat_N,RR_Load_N,RR_Travel_m,RR_SlipLong,RR_SlipAngle_deg,RR_DynamicToe_deg,RR_ForceLong_N,RR_ForceLat_N
0.020,0.1,-0.046,0.073,0.101,1057,0,100.6,3391,0.0038,-0.0003,0.1341,-0.4390,-42,-33,3108,0.0005,0.0063,0.1298,0.0577,-42,6,3028,-0.0004,-0.0018,-0.2110,-0.0767,-41,-116,2745,-0.0038,-0.0054,-0.0617,0.6486,-44,86
0.040,0.1,-0.015,0.054,0.074,1192,0,109.8,3339,0.0032,-0.0007,0.0934,-0.3690,-41,-9,3115,0.0006,-0.0035,0.0872,0.0665,-43,23,3067,0.0000,-0.0021,-0.0260,0.0029,-40,-109,2843,-0.0026,-0.0033,0.0900,0.4509,-42,89
0.060,0.0,0.010,0.042,0.048,1338,0,119.9,3289,0.0026,-0.0009,-0.0084,-0.3013,-40,3,3124,0.0007,-0.0018,-0.0170,0.0790,-40,31,3085,0.0002,-0.0022,0.0417,0.0399,-46,-88,2921,-0.0017,-0.0017,0.1271,0.2934,-41,102
0.080,0.0,0.004,0.036,0.022,1498,0,131.0,3243,0.0021,-0.0002,-0.0790,-0.2385,-40,3,3137,0.0008,-0.0010,-0.0900,0.0960,-40,26,3084,0.0002,-0.0013,-0.0311,0.0378,-41,-73,2979,-0.0010,-0.0008,0.0269,0.1760,-40,107
0.100,0.0,-0.024,0.035,-0.002,1669,0,136.3,3202,0.0016,0.0013,-0.0710,-0.1838,-31,-1,3153,0.0010,-0.0004,-0.0841,0.1178,-38,19,3067,0.0000,0.0004,-0.1237,0.0031,-43,-70,3018,-0.0006,-0.0002,-0.0890,0.0959,-36,97
0.120,0.0,-0.034,0.038,-0.023,1846,0,141.2,3169,0.0012,0.0017,-0.0371,-0.1390,-6,1,3172,0.0013,0.0002,-0.0520,0.1439,-37,17,3038,-0.0003,0.0010,-0.0932,-0.0554,-24,-74,3042,-0.0003,0.0004,-0.0777,0.0481,-32,78
0.140,0.0,-0.018,0.045,-0.041,2029,0,146.3,3144,0.0009,0.0002,-0.0329,-0.1056,12,6,3194,0.0015,0.0003,-0.0494,0.1736,-29,18,3002,-0.0008,-0.0002,0.0453,-0.1296,-9,-68,3052,-0.0002,0.0006,0.0464,0.0276,-22,69
0.160,0.0,-0.007,0.053,-0.056,2219,0,151.6,3128,0.0007,-0.0012,-0.0271,-0.0839,12,11,3219,0.0018,-0.0002,-0.0446,0.2062,-25,20,2961,-0.0012,-0.0015,0.1237,-0.2115,-8,-50,3052,-0.0002,0.0001,0.1148,0.0282,-15,71
0.180,0.0,-0.017,0.063,-0.067,2416,0,157.0,3120,0.0006,-0.0012,-0.0142,-0.0732,6,16,3244,0.0021,-0.0006,-0.0319,0.2401,-26,22,2920,-0.0017,-0.0013,0.0819,-0.2946,-12,-34,3044,-0.0003,-0.0003,0.0670,0.0442,-14,73
0.200,0.0,-0.029,0.074,-0.076,2619,0,161.1,3119,0.0006,-0.0004,-0.0264,-0.0718,8,20,3269,0.0024,-0.0002,-0.0433,0.2737,-25,24,2881,-0.0022,-0.0003,0.0061,-0.3725,-7,-28,3031,-0.0004,0.0001,-0.0118,0.0696,-12,65
