Time_s,Speed_Kmh,YawRate_deg,Pitch_deg,Roll_deg,EngineRPM,Gear,NetTorque,FL_Load_N,FL_Travel_m,FL_SlipLong,FL_SlipAngle_deg,FL_DynamicToe_deg,FL_ForceLong_N,FL_ForceLat_N,FR_Load_N,FR_Travel_m,FR_SlipLong,FR_SlipAngle_deg,FR_DynamicToe_deg,FR_ForceLong_N,FR_ForceLat_N,RL_Load_N,RL_Travel_m,RL_SlipLong,RL_SlipAngle_deg,RL_DynamicToe_deg,RL_ForceLong_N,RL_ForceLat_N,RR_Load_N,RR_Travel_m,RR_SlipLong,RR_SlipAngle_deg,RR_DynamicToe_deg,RR_ForceLong_N,RR_ForceLat_N
0.220,0.0,-0.054,0.084,-0.081,2816,1,163.7,3123,0.0007,-0.0028,-0.0157,-0.0776,13,20,3292,0.0027,-0.0033,-0.0312,0.3048,-25,21,2848,-0.0026,0.1227,-0.0639,-0.4407,294,-31,3016,-0.0006,0.2101,-0.0835,0.0999,570,50
0.240,0.1,-0.308,0.099,-0.082,2949,1,165.5,3133,0.0008,0.0089,0.6737,-0.0906,-63,64,3313,0.0029,0.0009,0.6538,0.3332,-65,66,2819,-0.0029,0.1834,-0.8055,-0.4979,1075,-77,2999,-0.0008,0.2916,-0.8378,0.1340,1937,-12
0.260,0.3,-0.549,0.124,-0.079,3008,1,166.3,3158,0.0011,0.0134,1.2955,-0.1241,-56,187,3340,0.0032,0.0038,1.2443,0.3698,-70,190,2787,-0.0033,0.1860,-1.5103,-0.5630,1665,-184,2969,-0.0011,0.4154,-1.5625,0.1945,3067,-92
0.280,0.6,-0.086,0.159,-0.078,2991,1,166.1,3206,0.0017,0.0118,-0.2788,-0.1895,-59,252,3383,0.0037,0.0092,-0.2949,0.4277,-61,257,2741,-0.0038,0.7033,-0.6470,-0.6558,2972,-144,2918,-0.0017,3.8720,-0.7075,0.2984,2564,-25
0.300,0.9,0.441,0.197,-0.077,2896,1,165.0,3274,0.0024,0.0104,-2.2956,-0.2805,-30,22,3446,0.0045,0.0041,-2.3091,0.5134,-51,14,2678,-0.0046,7.3514,0.3638,-0.7832,2003,-7,2851,-0.0025,12.8695,0.4663,0.4339,1918,-1
0.320,1.0,0.167,0.232,-0.071,2993,1,165.6,3347,0.0033,-0.0058,-1.0893,-0.3790,-35,-219,3517,0.0053,-0.0031,-0.9939,0.6089,-61,-225,2610,-0.0054,11.4473,-0.0453,-0.9213,1746,-1,2781,-0.0034,18.3253,-0.0923,0.5765,1820,0
0.340,1.2,-0.304,0.261,-0.058,3072,1,167.4,3421,0.0042,-0.0117,1.1680,-0.4786,-61,-170,3578,0.0060,-0.0038,1.1175,0.6904,-77,-181,2554,-0.0060,8.0590,-0.2809,-1.0354,1698,-1,2711,-0.0042,16.6948,-0.1792,0.7176,1771,0
0.360,1.4,-0.413,0.282,-0.043,3141,1,168.3,3491,0.0050,-0.0057,1.8261,-0.5740,-87,90,3620,0.0065,0.0052,1.8558,0.7480,-69,94,2516,-0.0065,9.0670,-0.2487,-1.1110,1671,-1,2645,-0.0049,19.5630,-0.1538,0.8501,1728,0
0.380,1.6,-0.070,0.296,-0.032,3230,1,169.6,3552,0.0057,0.0084,0.2667,-0.6558,-80,232,3648,0.0069,0.0049,0.2928,0.7856,-56,242,2496,-0.0067,8.2778,-0.0437,-1.1527,1659,-1,2592,-0.0056,21.0954,0.0364,0.9582,1693,0
0.400,1.7,0.271,0.303,-0.023,3402,1,175.9,3595,0.0062,0.0084,-1.4402,-0.7143,-58,94,3666,0.0071,-0.0037,-1.4155,0.8091,-63,103,2487,-0.0068,8.5190,0.0366,-1.1710,1655,-1,2557,-0.0060,23.1879,0.0995,1.0288,1670,0
0.420,1.9,0.229,0.303,-0.014,3475,1,203.2,3621,0.0065,-0.0032,-1.2630,-0.7486,-56,-140,3673,0.0071,-0.0079,-1.2491,0.8183,-83,-133,2487,-0.0068,7.2052,-0.0787,-1.1695,1657,0,2539,-0.0062,22.6339,-0.0307,1.0650,1658,0
0.440,2.1,-0.075,0.298,-0.003,3778,1,239.6,3633,0.0067,-0.0103,0.1352,-0.7652,-71,-206,3665,0.0071,-0.0045,0.3155,0.8084,-91,-175,2499,-0.0067,8.0843,-0.1907,-1.1449,1666,-1,2531,-0.0063,22.5305,-0.1524,1.0802,1654,0
0.460,2.3,-0.268,0.289,0.010,3880,1,288.3,3637,0.0067,-0.0128,1.0077,-0.7699,-86,-89,3643,0.0068,-0.0064,1.0409,0.7780,-93,-55,2523,-0.0064,7.8167,-0.1603,-1.0973,1683,-1,2529,-0.0063,20.2211,-0.1187,1.0853,1653,0
0.480,2.4,-0.189,0.277,0.020,4200,1,345.3,3633,0.0067,-0.0141,0.7715,-0.7648,-93,53,3611,0.0064,-0.0080,0.8306,0.7351,-89,91,2553,-0.0060,8.1645,-0.0274,-1.0363,1701,0,2531,-0.0063,20.4337,0.0143,1.0809,1655,0
0.500,2.6,0.059,0.266,0.027,4580,1,396.5,3622,0.0065,-0.0156,-0.0377,-0.7500,-90,92,3577,0.0060,-0.0117,-0.0163,0.6892,-82,128,2584,-0.0057,8.6401,0.1091,-0.9739,1719,0,2539,-0.0062,20.3488,0.1344,1.0651,1660,0
0.520,2.8,0.255,0.254,0.030,4960,1,437.0,3605,0.0063,-0.0156,-0.6240,-0.7269,-77,22,3546,0.0056,-0.0126,-0.5578,0.6471,-71,64,2611,-0.0053,9.0729,0.1714,-0.9186,1733,0,2552,-0.0060,20.1444,0.2162,1.0384,1669,0
0.540,3.0,0.288,0.244,0.031,5467,1,472.2,3584,0.0061,-0.0137,-0.6656,-0.6994,-54,-83,3518,0.0053,-0.0100,-0.6108,0.6104,-55,-36,2634,-0.0051,9.4175,0.1881,-0.8724,1744,1,2568,-0.0059,19.9024,0.2108,1.0058,1679,0
0.560,3.2,0.172,0.235,0.033,5942,1,485.0,3565,0.0059,-0.0041,-0.2820,-0.6727,-35,-144,3495,0.0051,-0.0014,-0.2043,0.5788,-43,-91,2653,-0.0048,9.7274,0.1828,-0.8335,1753,1,2584,-0.0057,19.6276,0.2060,0.9742,1688,0
0.580,3.4,0.023,0.228,0.035,6513,1,488.1,3548,0.0057,0.0075,0.1699,-0.6506,-35,-135,3475,0.0048,0.0092,0.3101,0.5513,-50,-67,2670,-0.0047,9.9738,0.1836,-0.7998,1760,1,2596,-0.0055,19.3947,0.2194,0.9487,1696,0
0.600,3.5,-0.042,0.223,0.037,7066,1,478.6,3536,0.0055,0.0143,0.3843,-0.6338,-64,-78,3457,0.0046,0.0111,0.4787,0.5279,-78,-5,2684,-0.0045,13.4061,0.2213,-0.7723,1765,1,2605,-0.0054,21.6615,0.2397,0.9313,1701,0
0.620,3.7,-0.006,0.220,0.037,7505,1,-180.6,3527,0.0054,0.0081,0.3303,-0.6215,-102,-18,3444,0.0045,0.0025,0.3496,0.5104,-99,48,2693,-0.0044,13.4135,0.2651,-0.7530,1769,1,2611,-0.0054,21.4010,0.2919,0.9196,1704,1
0.640,3.9,0.103,0.219,0.035,7409,1,475.1,3520,0.0053,-0.0043,0.1063,-0.6121,-112,14,3437,0.0044,-0.0059,0.1335,0.5007,-96,77,2697,-0.0043,12.0863,0.3112,-0.7445,1774,1,2615,-0.0053,19.7558,0.3394,0.9115,1708,1
0.660,4.1,0.224,0.219,0.031,7484,1,481.7,3514,0.0053,-0.0100,-0.1309,-0.6046,-89,8,3436,0.0044,-0.0067,-0.0683,0.4993,-77,73,2696,-0.0043,11.5704,0.3438,-0.7469,1775,1,2618,-0.0053,18.9574,0.3733,0.9049,1711,1
0.680,4.3,0.294,0.220,0.026,7512,1,488.2,3509,0.0052,-0.0054,-0.2536,-0.5981,-62,-27,3440,0.0044,-0.0020,-0.2280,0.5048,-63,35,2690,-0.0044,11.7549,0.3561,-0.7591,1773,1,2621,-0.0052,18.8102,0.3864,0.8991,1714,1
0.700,4.5,0.280,0.223,0.021,7461,1,-180.8,3506,0.0052,0.0023,-0.2129,-0.5932,-58,-64,3448,0.0045,0.0028,-0.1666,0.5154,-69,-1,2681,-0.0045,9.4605,0.3464,-0.7773,1769,1,2624,-0.0052,16.6577,0.3786,0.8939,1717,1
0.720,4.6,0.211,0.225,0.016,7509,1,497.3,3504,0.0052,0.0049,-0.0712,-0.5904,-78,-79,3458,0.0046,0.0022,-0.0527,0.5287,-84,-21,2671,-0.0046,10.6535,0.3316,-0.7979,1764,1,2625,-0.0052,16.5732,0.3630,0.8905,1719,1
0.740,4.8,0.141,0.228,0.012,7415,1,-180.5,3503,0.0051,0.0011,0.0696,-0.5899,-99,-66,3468,0.0047,-0.0012,0.0981,0.5426,-94,-11,2661,-0.0048,10.5931,0.3247,-0.8184,1758,1,2626,-0.0052,15.9532,0.3553,0.8892,1721,1
0.760,5.0,0.108,0.231,0.008,7332,1,-180.5,3504,0.0052,-0.0049,0.1356,-0.5910,-96,-35,3478,0.0049,-0.0040,0.1689,0.5564,-88,19,2651,-0.0049,8.5313,0.3242,-0.8375,1755,1,2626,-0.0052,13.9516,0.3550,0.8894,1722,1
0.780,5.2,0.127,0.233,0.004,7436,1,504.5,3505,0.0052,-0.0049,0.1077,-0.5927,-82,-4,3488,0.0050,-0.0035,0.1498,0.5698,-77,50,2643,-0.0050,8.9740,0.3273,-0.8554,1749,1,2626,-0.0052,13.4532,0.3584,0.8899,1724,1
0.800,5.4,0.187,0.235,0.000,7471,1,-180.7,3506,0.0052,-0.0025,0.0147,-0.5942,-68,10,3498,0.0051,-0.0010,0.0990,0.5830,-74,73,2634,-0.0051,9.0071,0.3286,-0.8722,1745,1,2626,-0.0052,12.8667,0.3603,0.8891,1726,1
0.820,5.6,0.248,0.237,-0.005,7412,1,-180.6,3507,0.0052,0.0009,-0.0810,-0.5945,-69,1,3508,0.0052,-0.0003,-0.0377,0.5959,-74,63,2626,-0.0052,8.9024,0.3279,-0.8882,1740,2,2627,-0.0052,12.2401,0.3581,0.8861,1729,1
0.840,5.7,0.279,0.238,-0.009,7367,1,-180.4,3505,0.0052,0.0016,-0.1301,-0.5930,-81,-22,3516,0.0053,0.0006,0.0285,0.6078,-85,64,2619,-0.0053,9.0755,0.3167,-0.9032,1737,1,2630,-0.0051,11.8246,0.3491,0.8811,1732,1
0.860,5.9,0.270,0.239,-0.013,7315,1,-180.4,3503,0.0052,-0.0005,-0.1218,-0.5902,-90,-47,3524,0.0054,-0.0020,-0.0746,0.6176,-83,36,2613,-0.0053,8.7835,0.3018,-0.9162,1733,1,2633,-0.0051,10.9625,0.3342,0.8752,1736,1
0.880,6.1,0.225,0.239,-0.015,7379,1,517.1,3501,0.0051,-0.0025,-0.0616,-0.5870,-88,-58,3529,0.0055,-0.0015,0.0293,0.6248,-81,31,2608,-0.0054,8.8826,0.2804,-0.9261,1730,1,2636,-0.0051,10.5888,0.3141,0.8694,1740,1
0.900,6.3,0.181,0.239,-0.016,7490,1,510.3,3499,0.0051,-0.0028,-0.0018,-0.5841,-78,-53,3532,0.0055,-0.0013,0.0533,0.6289,-77,33,2605,-0.0054,8.9662,0.2642,-0.9322,1729,1,2638,-0.0050,10.1731,0.2963,0.8650,1743,1
0.920,6.5,0.152,0.238,-0.017,7497,1,509.6,3497,0.0051,-0.0008,0.0343,-0.5816,-76,-39,3533,0.0055,-0.0005,0.0620,0.6301,-76,39,2603,-0.0054,8.7924,0.2499,-0.9347,1728,1,2639,-0.0050,9.5648,0.2818,0.8620,1746,1
0.940,6.7,0.153,0.238,-0.017,7524,1,508.5,3495,0.0051,-0.0006,0.0299,-0.5792,-76,-22,3532,0.0055,0.0002,0.1280,0.6289,-84,65,2603,-0.0054,8.3534,0.2395,-0.9347,1730,1,2640,-0.0050,8.8021,0.2714,0.8601,1750,1
0.960,6.8,0.178,0.237,-0.016,7495,1,-180.7,3494,0.0050,-0.0003,-0.0061,-0.5774,-77,-15,3531,0.0055,-0.0014,0.0427,0.6269,-83,68,2604,-0.0054,7.0392,0.2307,-0.9329,1737,1,2641,-0.0050,7.2080,0.2625,0.8586,1758,1
0.980,7.0,0.204,0.237,-0.016,7526,2,508.4,3493,0.0050,-0.0003,-0.0439,-0.5759,-82,-20,3529,0.0055,-0.0013,0.0340,0.6246,-81,68,2606,-0.0054,5.6983,0.2214,-0.9304,1750,2,2642,-0.0050,5.9753,0.2532,0.8575,1771,2
1.000,7.2,0.214,0.236,-0.015,7505,2,509.0,3492,0.0050,-0.0011,-0.0604,-0.5750,-83,-31,3527,0.0054,-0.0014,-0.0396,0.6223,-75,45,2607,-0.0054,5.9894,0.2113,-0.9278,1755,2,2642,-0.0050,6.7440,0.2431,0.8569,1771,2
1.020,7.4,0.201,0.236,-0.014,7377,2,516.2,3492,0.0050,-0.0010,-0.0458,-0.5747,-88,-40,3525,0.0054,-0.0002,-0.0216,0.6198,-75,27,2608,-0.0054,7.9931,0.2028,-0.9252,1741,1,2642,-0.0050,9.2529,0.2345,0.8575,1754,1
1.040,7.6,0.176,0.236,-0.012,7294,2,521.0,3493,0.0050,-0.0023,-0.0153,-0.5757,-78,-40,3523,0.0054,0.0000,0.0098,0.6170,-81,20,2610,-0.0054,11.4554,0.1943,-0.9214,1724,1,2641,-0.0050,13.1022,0.2257,0.8595,1737,1
1.060,7.8,0.155,0.235,-0.010,7417,2,-180.7,3494,0.0050,-0.0012,0.0092,-0.5777,-70,-32,3521,0.0054,-0.0008,0.0450,0.6135,-84,25,2613,-0.0053,12.6271,0.1868,-0.9163,1718,1,2639,-0.0050,14.5994,0.2182,0.8626,1731,1
1.080,7.9,0.152,0.235,-0.007,7432,2,-180.6,3496,0.0051,0.0003,0.0137,-0.5800,-73,-22,3517,0.0053,-0.0014,0.0509,0.6092,-83,34,2616,-0.0053,12.5711,0.1829,-0.9099,1721,1,2637,-0.0050,14.5627,0.2141,0.8662,1730,1
1.100,8.1,0.189,0.234,-0.005,7457,2,-180.8,3498,0.0051,0.0002,-0.0207,-0.5824,-82,-19,3514,0.0053,-0.0007,0.1960,0.6045,-91,88,2619,-0.0053,12.0111,0.1837,-0.9031,1724,1,2636,-0.0051,14.0568,0.2149,0.8698,1729,1
1.120,8.3,0.246,0.234,-0.004,7415,2,518.7,3499,0.0051,-0.0006,-0.0780,-0.5840,-94,-32,3511,0.0052,-0.0026,0.0511,0.6003,-80,90,2622,-0.0052,11.9092,0.1884,-0.8972,1727,1,2634,-0.0051,13.8037,0.2198,0.8728,1730,1
1.140,8.5,0.268,0.234,-0.002,7302,2,-180.4,3500,0.0051,-0.0028,-0.0982,-0.5853,-82,-54,3509,0.0052,-0.0015,-0.0313,0.5973,-68,60,2624,-0.0052,11.1525,0.1935,-0.8927,1730,1,2633,-0.0051,13.1562,0.2281,0.8746,1730,1
1.160,8.7,0.252,0.234,0.000,7392,2,-180.5,3501,0.0051,-0.0016,-0.0724,-0.5875,-72,-69,3507,0.0052,0.0001,-0.0499,0.5944,-67,26,2627,-0.0052,11.4094,0.1882,-0.8866,1732,1,2632,-0.0051,13.2702,0.2227,0.8762,1730,1
1.180,8.9,0.205,0.233,0.002,7405,2,-180.6,3503,0.0051,-0.0001,-0.0223,-0.5896,-75,-68,3504,0.0052,0.0008,0.0125,0.5909,-79,15,2628,-0.0051,10.9524,0.1888,-0.8841,1733,1,2629,-0.0051,12.8076,0.2203,0.8821,1729,1
1.200,9.0,0.195,0.233,0.004,7427,2,-180.5,3506,0.0052,-0.0004,0.0043,-0.5936,-78,-54,3501,0.0051,-0.0003,0.0927,0.5869,-92,38,2634,-0.0051,10.9767,0.1857,-0.8738,1737,1,2629,-0.0051,12.7444,0.2423,0.8839,1729,1
1.220,9.2,0.203,0.232,0.007,7371,2,-180.6,3508,0.0052,-0.0004,0.0000,-0.5966,-89,-41,3498,0.0051,-0.0019,0.0945,0.5835,-91,59,2638,-0.0050,10.3046,0.1964,-0.8654,1741,1,2628,-0.0051,12.1488,0.2339,0.8851,1729,1
1.240,9.4,0.238,0.233,0.008,7384,2,-180.5,3511,0.0052,-0.0021,-0.0216,-0.5998,-80,-36,3496,0.0051,-0.0024,0.0579,0.5799,-77,66,2641,-0.0050,10.3430,0.2006,-0.8589,1744,1,2626,-0.0052,12.1014,0.2377,0.8888,1729,1
1.260,9.6,0.272,0.234,0.009,7511,2,514.4,3512,0.0052,-0.0011,-0.0430,-0.6014,-77,-40,3493,0.0050,-0.0012,-0.0160,0.5766,-67,45,2640,-0.0050,10.3989,0.2026,-0.8599,1745,1,2622,-0.0052,12.0553,0.2365,0.8971,1727,1
1.280,9.8,0.284,0.234,0.009,7510,2,-180.9,3511,0.0052,-0.0008,-0.0480,-0.6010,-75,-47,3492,0.0050,0.0004,0.0263,0.5745,-77,41,2636,-0.0051,9.9973,0.2120,-0.8685,1742,1,2617,-0.0053,11.6570,0.2621,0.9081,1724,1
1.300,9.9,0.290,0.234,0.009,7599,2,-180.8,3512,0.0052,-0.0002,-0.0435,-0.6016,-85,-51,3491,0.0050,-0.0002,0.0626,0.5741,-90,51,2636,-0.0050,10.2503,0.2150,-0.8680,1743,1,2616,-0.0053,11.7770,0.2432,0.9091,1724,1
1.320,10.1,0.286,0.234,0.009,7388,2,-180.6,3513,0.0053,-0.0015,-0.0327,-0.6026,-80,-53,3492,0.0050,-0.0021,-0.0121,0.5750,-80,30,2639,-0.0050,9.5634,0.2184,-0.8626,1747,1,2619,-0.0053,11.0969,0.2582,0.9041,1727,1
1.340,10.3,0.281,0.234,0.009,7456,2,-180.6,3513,0.0053,-0.0010,-0.0182,-0.6031,-79,-48,3492,0.0050,-0.0010,0.0300,0.5752,-77,29,2639,-0.0050,9.4628,0.2181,-0.8628,1747,1,2618,-0.0053,11.0336,0.2531,0.9046,1728,1
1.360,10.5,0.282,0.235,0.008,7480,2,-180.8,3512,0.0053,-0.0009,-0.0132,-0.6021,-78,-41,3493,0.0050,-0.0006,0.0716,0.5756,-82,46,2636,-0.0051,9.0868,0.2252,-0.8692,1746,1,2616,-0.0053,10.6925,0.2650,0.9090,1727,1
1.380,10.7,0.297,0.236,0.007,7493,2,-180.7,3512,0.0052,-0.0007,-0.0154,-0.6014,-80,-36,3493,0.0050,-0.0014,0.0059,0.5762,-77,35,2632,-0.0051,9.1572,0.2293,-0.8767,1745,1,2613,-0.0053,10.6731,0.2761,0.9144,1726,1
1.400,10.9,0.300,0.235,0.007,7459,2,-180.7,3511,0.0052,-0.0009,-0.0142,-0.6006,-82,-32,3495,0.0050,-0.0006,0.0718,0.5783,-81,51,2630,-0.0051,8.9525,0.2385,-0.8809,1744,1,2614,-0.0053,10.3961,0.2778,0.9142,1727,1
1.420,11.0,0.317,0.235,0.007,7503,2,-180.6,3511,0.0052,-0.0010,-0.0165,-0.6011,-84,-29,3496,0.0051,-0.0012,0.0169,0.5799,-78,43,2631,-0.0051,8.9932,0.2414,-0.8784,1745,1,2616,-0.0053,10.3885,0.2735,0.9102,1729,1
1.440,11.2,0.338,0.234,0.006,7372,2,-180.5,3512,0.0053,-0.0013,-0.0243,-0.6016,-80,-29,3497,0.0051,-0.0006,0.0760,0.5816,-83,61,2634,-0.0051,8.4737,0.2460,-0.8732,1749,1,2619,-0.0053,9.9234,0.2876,0.9032,1732,1
1.460,11.4,0.374,0.233,0.005,7405,2,-180.6,3512,0.0053,-0.0009,-0.0414,-0.6016,-80,-35,3498,0.0051,-0.0012,0.0517,0.5828,-82,65,2635,-0.0051,8.2450,0.2514,-0.8699,1751,1,2622,-0.0052,9.7174,0.2999,0.8981,1734,1
1.480,11.6,0.396,0.233,0.004,7464,2,517.2,3512,0.0052,-0.0010,-0.0475,-0.6013,-79,-45,3500,0.0051,-0.0014,-0.0215,0.5853,-73,36,2638,-0.0050,8.3966,0.2540,-0.8643,1753,1,2626,-0.0052,9.6681,0.3181,0.8882,1739,1
1.500,11.8,0.383,0.232,0.002,7396,2,515.8,3510,0.0052,-0.0009,-0.0330,-0.5996,-77,-49,3502,0.0051,-0.0004,0.0219,0.5889,-76,30,2639,-0.0050,7.8578,0.2579,-0.8617,1755,1,2632,-0.0051,9.1390,0.2913,0.8778,1743,1
1.520,12.0,0.350,0.232,0.002,7416,2,519.1,3509,0.0052,-0.0006,-0.0057,-0.5978,-80,-42,3505,0.0052,-0.0006,0.0293,0.5918,-80,27,2640,-0.0050,8.0878,0.2645,-0.8605,1756,1,2636,-0.0051,9.1668,0.3643,0.8695,1747,2
1.540,12.1,0.358,0.232,0.002,7385,2,-180.4,3509,0.0052,-0.0008,0.0001,-0.5974,-83,-28,3505,0.0052,-0.0004,0.1617,0.5921,-97,86,2640,-0.0050,8.0581,0.2699,-0.8604,1756,1,2636,-0.0051,8.9866,0.3697,0.8685,1748,2
1.560,12.3,0.397,0.233,0.003,7326,2,-180.4,3509,0.0052,-0.0010,-0.0158,-0.5983,-86,-25,3504,0.0052,-0.0026,0.0089,0.5911,-76,64,2640,-0.0050,7.7072,0.2752,-0.8615,1757,1,2634,-0.0051,8.5723,0.3457,0.8722,1748,2
1.580,12.5,0.427,0.233,0.003,7475,2,513.7,3509,0.0052,-0.0014,-0.0259,-0.5983,-80,-28,3503,0.0051,-0.0010,-0.0017,0.5895,-67,43,2637,-0.0050,7.8818,0.2806,-0.8670,1756,2,2630,-0.0051,8.5990,0.3412,0.8802,1747,2
1.600,12.7,0.431,0.234,0.003,7465,2,512.7,3510,0.0052,-0.0010,-0.0205,-0.5990,-76,-31,3503,0.0051,0.0000,0.0002,0.5896,-74,26,2638,-0.0050,7.7384,0.2823,-0.8645,1757,2,2631,-0.0051,8.3432,0.3303,0.8787,1748,2
1.620,12.9,0.425,0.233,0.003,7513,2,510.0,3510,0.0052,-0.0007,-0.0087,-0.5986,-78,-28,3502,0.0051,-0.0003,0.0122,0.5888,-83,19,2636,-0.0051,7.7554,0.2870,-0.8690,1755,2,2629,-0.0051,8.2112,0.3338,0.8837,1748,2
1.640,13.1,0.424,0.233,0.004,7478,2,-180.7,3510,0.0052,-0.0007,0.0006,-0.5993,-81,-22,3503,0.0051,-0.0009,0.0466,0.5890,-89,31,2637,-0.0050,7.5363,0.2895,-0.8662,1758,2,2630,-0.0051,7.8883,0.3231,0.8816,1750,2
1.660,13.3,0.449,0.233,0.003,7420,2,-180.6,3510,0.0052,-0.0009,-0.0062,-0.5997,-86,-17,3503,0.0051,-0.0014,0.0859,0.5890,-90,59,2637,-0.0050,7.3868,0.2962,-0.8660,1759,2,2629,-0.0051,7.6609,0.3353,0.8820,1751,2
1.680,13.4,0.479,0.234,0.003,7353,2,-180.4,3511,0.0052,-0.0014,-0.0175,-0.6004,-82,-19,3503,0.0051,-0.0019,0.0359,0.5900,-75,55,2639,-0.0050,6.9784,0.3011,-0.8619,1763,2,2632,-0.0051,7.1810,0.3720,0.8773,1756,2
1.700,13.6,0.500,0.235,0.003,7347,2,-180.4,3510,0.0052,-0.0011,-0.0233,-0.5992,-79,-24,3503,0.0051,-0.0008,0.0382,0.5900,-73,53,2636,-0.0050,6.3345,0.3061,-0.8680,1767,2,2630,-0.0051,6.4566,0.3687,0.8818,1761,2
1.720,13.8,0.532,0.235,0.002,7389,3,518.7,3509,0.0052,-0.0008,-0.0320,-0.5971,-83,-30,3503,0.0051,-0.0004,0.0711,0.5893,-83,68,2631,-0.0051,5.4772,0.3106,-0.8796,1772,2,2625,-0.0052,5.5380,0.3665,0.8914,1768,3
1.740,14.0,0.539,0.236,0.001,7506,3,510.4,3507,0.0052,-0.0011,-0.0322,-0.5953,-81,-37,3504,0.0052,-0.0012,0.0253,0.5906,-81,53,2628,-0.0052,4.9285,0.3152,-0.8859,1780,3,2624,-0.0052,5.1102,0.3825,0.8928,1775,3
1.760,14.2,0.532,0.237,0.000,7455,3,512.6,3506,0.0052,-0.0009,-0.0198,-0.5939,-82,-38,3505,0.0052,-0.0011,0.0090,0.5917,-78,34,2623,-0.0052,4.9924,0.3195,-0.8961,1778,3,2621,-0.0052,5.3446,0.3523,0.8992,1772,3
