Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
39.66,3,2042.1,485.73,-0.09,2819.2,1.0,-0.38,0.0,1.0,0.5,0.0,0.0,1,909,0.0,0.3,0.14,0.01,0.41,0,0,5564,0.0823,-0.027,1.174,1.074,-0.83,-5.2,15,-2084,-32,1482,1,5560,0.0821,-0.03,-1.331,1.231,-0.58,-5.45,17,-2298,11,1482,1,4522,0.0767,0.034,-1.451,1.351,0.55,-5.48,12,-3665,77,798,1,4519,0.0765,0.031,0.27,0.17,0.49,-5.54,6,-996,-139,798,1
39.68,3,2042.1,485.73,-0.09,2819.2,0.9,-0.09,0.06,1.0,0.5,0.0,0.0,1,957,41.7,0.31,0.12,0.02,0.83,0,0,5512,0.0822,-0.004,0.433,0.333,16.64,10.6,5,1911,957,0,0,5443,0.082,-0.004,0.563,0.463,17.3,11.27,5,2064,1032,0,0,4618,0.0769,0.007,2.374,2.274,0.3,-5.73,36,1782,167,0,0,4559,0.0767,0.007,0.503,0.403,-0.43,-5.6,13,370,-49,0,0
39.7,3,2042.1,485.73,-0.09,2819.21,0.8,-0.13,0.23,1.0,0.5,0.0,0.0,1,1026,45.5,0.32,0.1,0.06,3.1,0,0,5638,0.0821,-0.004,-0.832,0.732,8.44,2.41,3,-1506,2133,0,0,5202,0.081,-0.047,-0.968,0.868,4.95,-1.08,-3,-1171,1925,0,0,4817,0.0779,0.049,-1.083,0.983,-0.44,-5.59,-16,2056,188,0,0,4449,0.0768,0.006,-0.393,0.293,-0.2,-5.83,0,91,-14,0,0
39.72,3,2042.1,485.73,-0.09,2819.21,0.7,-0.35,0.24,1.0,0.5,0.0,0.0,1,1102,49.7,0.34,0.08,0.11,4.95,0,0,5756,0.0825,0.022,0.838,0.738,-2.25,-3.78,21,135,2210,0,0,5164,0.0798,-0.062,0.688,0.588,-9.75,3.71,18,-246,1445,0,0,4832,0.0791,0.062,-0.833,0.733,-0.73,-5.3,4,-2307,122,0,0,4335,0.0763,-0.022,0.057,-0.043,-0.02,-6.01,5,-375,-34,0,0
39.74,3,2042.1,485.74,-0.09,2819.22,0.7,-0.16,0.18,1.0,0.5,0.0,0.0,1,1185,54.2,0.35,0.06,0.16,6.19,0,0,5753,0.083,0.023,-0.541,0.441,-9.01,2.98,0,427,1347,0,0,5134,0.0788,-0.051,-0.315,0.215,-18.38,12.35,-1,579,-174,0,0,4868,0.0801,0.051,1.219,1.119,-1.26,-4.77,21,672,9,0,0,4353,0.0759,-0.023,0.087,-0.013,-0.4,-5.63,2,177,-77,0,0
39.76,3,2042.1,485.74,-0.09,2819.22,0.6,0.0,-0.07,1.0,0.5,0.0,0.0,1,1276,59.2,0.36,0.04,0.15,5.24,0,0,5476,0.0828,-0.01,0.24,0.14,-6.36,0.32,16,-851,352,0,0,5248,0.0781,-0.035,-0.088,-0.012,-14.54,8.51,8,-867,-1774,0,0,4781,0.0809,0.039,-0.583,0.483,-0.52,-5.51,-5,564,-70,0,0,4603,0.0762,0.015,-0.076,-0.024,-1.04,-4.99,2,-262,-136,0,0
39.78,3,2042.1,485.74,-0.09,2819.22,0.6,0.08,-0.18,1.0,1.0,0.0,0.0,1,1374,64.6,0.37,0.01,0.12,3.18,0,0,5199,0.0816,-0.06,0.038,-0.062,1.03,-5.0,4,933,63,0,0,5362,0.0779,-0.007,0.348,0.248,-3.67,-2.36,9,249,-2420,0,0,4696,0.0811,0.013,-0.06,-0.04,-1.33,-4.7,8,-871,-148,0,0,4849,0.0775,0.065,0.119,0.019,-0.26,-5.77,5,0,-214,0,0
39.8,3,2042.1,485.74,-0.09,2819.22,0.6,0.09,-0.19,1.0,0.5,0.0,0.0,1,1542,132.6,0.39,-0.03,0.07,1.16,0,0,5036,0.08,-0.08,-0.24,0.14,7.65,1.62,5,-840,528,0,0,5410,0.078,0.002,-0.245,0.145,6.73,0.7,0,170,-2024,0,0,4663,0.0812,0.005,0.356,0.256,-0.72,-5.31,8,499,-236,0,0,4993,0.0792,0.087,-0.1,0.0,-0.62,-5.41,3,-118,-271,0,0
39.82,3,2042.1,485.74,-0.09,2819.23,0.6,-0.01,-0.11,1.0,0.5,0.0,0.0,1,1714,77.6,0.41,-0.06,0.02,0.4,0,0,5024,0.0785,-0.073,0.298,0.198,10.2,4.16,8,258,1372,0,0,5426,0.078,0.002,0.059,-0.041,10.82,4.79,7,-520,-916,0,0,4658,0.0813,0.004,-0.312,0.212,-1.34,-4.69,1,-116,-331,0,0,5004,0.0808,0.08,0.064,-0.036,-0.89,-5.14,6,-171,-354,0,0
39.84,3,2042.1,485.74,-0.09,2819.23,0.5,-0.12,0.02,1.0,0.5,0.0,0.03,1,1835,81.0,0.41,-0.08,0.0,1.17,0,0,5168,0.0777,-0.044,-0.247,0.147,7.0,0.97,0,30,2059,0,0,5365,0.0779,-0.005,0.072,-0.028,5.97,-0.06,3,402,60,0,0,4708,0.0815,0.01,0.233,0.133,-0.67,-5.36,9,-94,-370,0,0,4874,0.0818,0.05,0.131,0.031,-0.34,-5.69,6,231,-372,0,0
