Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
96.44,4,7596.7,-2310.45,-0.05,8377.27,86.5,0.78,-0.96,-0.43,1.0,0.0,1.0,2,4132,934.4,1.77,0.15,-1.34,-3.37,1983,316,4981,0.0441,-0.002,0.018,-0.082,-1.69,-5.47,613,1445,-1689,0,0,6436,0.0838,-0.138,0.014,-0.086,-0.99,-6.17,613,1499,-1250,0,0,7532,0.0461,0.132,0.053,-0.047,-3.86,-3.3,633,4348,-5042,0,0,9783,0.0858,-0.003,0.045,-0.055,-3.84,-3.32,632,4805,-6450,0,0
96.46,4,7597.2,-2310.65,-0.05,8377.71,86.9,0.67,-1.32,-0.46,1.0,0.0,1.0,2,4143,936.2,1.77,0.11,-1.29,-3.61,1990,319,4800,0.0439,-0.008,0.107,0.007,-23.22,16.06,616,1606,-5215,0,0,6573,0.0814,-0.12,0.066,-0.034,-18.66,11.5,614,1690,-7084,0,0,7438,0.0484,0.115,0.051,-0.049,-3.23,-3.93,635,4345,-4393,0,0,9962,0.0858,0.003,0.042,-0.058,-3.13,-4.03,633,4945,-5753,0,0
96.48,4,7597.7,-2310.86,-0.05,8378.14,87.2,0.51,-1.48,-0.48,1.0,0.0,1.0,2,4141,935.8,1.77,0.07,-1.27,-6.81,1995,321,4632,0.0431,-0.042,0.105,0.005,-23.5,16.33,615,1390,-4992,0,0,6835,0.0802,-0.058,0.059,-0.041,-18.71,11.55,613,1441,-7366,0,0,7187,0.0494,0.052,0.048,-0.052,-2.76,-4.4,635,4311,-3751,0,0,10134,0.0866,0.036,0.037,-0.063,-2.78,-4.38,634,4811,-5173,0,0
96.5,4,7598.2,-2311.08,-0.05,8378.58,87.5,0.47,-1.41,-0.49,1.0,0.0,1.0,2,4159,938.5,1.78,0.05,-1.27,-10.45,2002,323,4569,0.0422,-0.041,0.112,0.012,-23.74,16.58,618,1394,-4909,0,0,7010,0.0797,-0.028,0.06,-0.04,-18.75,11.59,617,1444,-7527,0,0,7012,0.0498,0.023,0.049,-0.051,-2.52,-4.64,637,4387,-3313,0,0,10203,0.0873,0.035,0.035,-0.065,-2.5,-4.66,636,4702,-4694,0,0
96.52,4,7598.7,-2311.3,-0.05,8379.02,87.8,0.46,-1.36,-0.51,1.0,0.0,1.0,2,4175,940.9,1.78,0.03,-1.28,-14.4,2010,325,4545,0.0416,-0.035,0.116,0.016,-23.94,16.77,620,1431,-4869,0,0,7117,0.0794,-0.016,0.059,-0.041,-18.75,11.59,620,1442,-7633,0,0,6890,0.05,0.009,0.052,-0.048,-2.4,-4.77,639,4537,-3029,0,0,10216,0.0878,0.028,0.033,-0.067,-2.34,-4.82,639,4577,-4382,0,0
96.54,4,7599.2,-2311.52,-0.05,8379.45,88.1,0.45,-1.33,-0.52,1.0,0.0,1.0,2,4190,943.2,1.79,0.02,-1.29,-18.48,2020,327,4562,0.041,-0.028,0.119,0.019,-24.06,16.9,621,1457,-4878,0,0,7191,0.0792,-0.008,0.058,-0.042,-18.77,11.61,623,1427,-7709,0,0,6814,0.0501,0.001,0.054,-0.046,-2.34,-4.83,641,4684,-2895,0,0,10208,0.0883,0.021,0.032,-0.068,-2.3,-4.86,641,4475,-4244,0,0
96.56,4,7599.7,-2311.75,-0.05,8379.88,88.4,0.45,-1.33,-0.52,1.0,0.0,1.0,2,4207,945.7,1.79,0.01,-1.3,-22.52,2032,330,4578,0.0406,-0.021,0.12,0.02,-24.09,16.93,623,1480,-4888,0,0,7239,0.0791,-0.003,0.057,-0.043,-18.73,11.57,626,1411,-7761,0,0,6755,0.05,-0.003,0.057,-0.043,-2.39,-4.77,644,4789,-2872,0,0,10188,0.0886,0.015,0.031,-0.069,-2.28,-4.88,645,4335,-4243,0,0
96.58,4,7600.2,-2311.99,-0.05,8380.32,88.7,0.44,-1.33,-0.53,1.0,0.0,1.0,2,4225,948.5,1.79,0.01,-1.31,-26.46,2044,332,4589,0.0402,-0.016,0.122,0.022,-24.1,16.94,624,1504,-4894,0,0,7295,0.0792,0.002,0.056,-0.044,-18.67,11.5,629,1399,-7820,0,0,6681,0.0498,-0.008,0.061,-0.039,-2.54,-4.62,646,4897,-2913,0,0,10168,0.0888,0.01,0.031,-0.069,-2.46,-4.7,648,4237,-4398,0,0
96.6,4,7600.6,-2312.23,-0.05,8380.75,88.9,0.44,-1.35,-0.53,1.0,0.0,1.0,2,4243,951.2,1.8,0.0,-1.33,-30.17,2057,334,4594,0.04,-0.014,0.124,0.024,-24.03,16.87,626,1525,-4893,0,0,7330,0.0793,0.006,0.055,-0.045,-18.56,11.4,632,1390,-7858,0,0,6632,0.0496,-0.012,0.064,-0.036,-2.74,-4.42,649,4987,-3038,0,0,10153,0.0889,0.007,0.031,-0.069,-2.65,-4.52,651,4136,-4635,0,0
96.62,4,7601.1,-2312.47,-0.05,8381.18,89.2,0.43,-1.38,-0.53,1.0,0.0,1.0,2,4263,954.3,1.8,0.01,-1.34,-33.61,2070,336,4596,0.0397,-0.012,0.125,0.025,-23.87,16.7,628,1540,-4893,0,0,7392,0.0795,0.009,0.054,-0.046,-18.41,11.25,635,1381,-7923,0,0,6572,0.0493,-0.015,0.068,-0.032,-2.92,-4.24,652,5034,-3181,0,0,10161,0.0891,0.007,0.031,-0.069,-2.82,-4.34,655,4050,-4939,0,0
