Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
83.26,3,7277.3,-2316.61,-0.04,8076.66,0.7,-0.04,0.0,1.0,0.5,0.0,0.0,1,835,0.0,0.26,0.53,0.0,0.5,0,0,6509,0.0665,0.003,1.047,0.947,-1.35,-5.82,14,1615,185,0,0,6503,0.0663,0.003,0.609,0.509,-1.53,-5.63,12,-10,363,0,0,7130,0.0501,-0.001,0.629,0.529,0.91,-6.26,8,1824,-324,0,0,7120,0.05,-0.001,1.41,1.31,0.91,-6.25,17,2040,-294,0,0
83.28,3,7277.3,-2316.61,-0.04,8076.67,0.7,0.05,0.04,1.0,0.5,0.0,0.0,1,894,159.2,0.53,0.51,0.01,1.28,0,0,6415,0.0661,-0.016,-0.647,0.547,11.36,4.2,-5,809,806,0,0,6369,0.066,-0.015,-0.085,-0.015,12.2,5.04,1,622,1054,0,0,7267,0.0505,0.017,-0.717,0.617,2.19,-4.97,-1,-809,-77,0,0,7221,0.0503,0.017,-0.92,0.82,2.35,-4.81,-9,857,-45,0,0
83.3,3,7277.3,-2316.61,-0.04,8076.67,0.6,-0.21,0.13,1.0,0.5,0.0,0.0,1,1032,210.7,0.62,0.5,0.02,2.34,0,0,6495,0.0659,-0.01,-0.246,0.146,5.04,-2.12,5,-1266,1654,0,0,6315,0.0655,-0.025,-0.212,0.112,3.95,-3.22,2,-497,1823,0,0,7344,0.051,0.026,0.426,0.326,1.88,-5.28,11,-261,213,0,0,7156,0.0506,0.012,0.05,-0.05,2.1,-5.06,8,-1649,252,0,0
83.32,3,7277.3,-2316.61,-0.04,8076.67,0.5,-0.17,0.19,1.0,0.5,0.0,0.0,1,1179,221.7,0.64,0.49,0.04,3.4,0,0,6575,0.0661,0.007,0.417,0.317,-2.67,-4.49,11,-143,1604,0,0,6251,0.065,-0.026,0.114,0.014,-6.75,-0.41,6,-341,1444,0,0,7426,0.0516,0.029,-0.147,0.047,0.53,-6.63,1,656,363,0,0,7079,0.0505,-0.004,0.353,0.253,0.46,-6.71,4,978,379,0,0
83.34,3,7277.3,-2316.61,-0.04,8076.67,0.5,-0.1,0.14,1.0,0.5,0.0,0.0,1,1335,233.3,0.66,0.48,0.06,3.81,0,0,6568,0.0662,0.008,-0.01,-0.09,-7.13,-0.03,4,701,822,0,0,6194,0.0644,-0.029,0.095,-0.005,-11.26,4.1,5,146,260,0,0,7487,0.0522,0.031,-0.112,0.012,-1.49,-5.67,5,-938,241,0,0,7078,0.0503,-0.007,-0.245,0.145,-1.62,-5.54,-1,-203,253,0,0
83.36,3,7277.3,-2316.61,-0.04,8076.68,0.5,-0.02,0.0,1.0,0.5,0.0,0.0,1,1498,245.5,0.67,0.47,0.07,3.35,0,0,6460,0.0661,-0.005,-0.334,0.234,-6.8,-0.36,3,-657,-100,0,0,6220,0.0639,-0.023,-0.098,-0.002,-10.17,3.01,3,-55,-957,0,0,7466,0.0526,0.024,0.254,0.154,-2.47,-4.69,6,383,-73,0,0,7182,0.0504,0.005,0.067,-0.033,-2.47,-4.69,2,-154,-45,0,0
83.38,3,7277.3,-2316.6,-0.04,8076.68,0.5,0.06,-0.14,1.0,0.5,0.0,0.0,1,1669,253.1,0.69,0.46,0.05,2.26,0,0,6275,0.0656,-0.025,0.243,0.143,-1.83,-5.33,9,-455,-537,0,0,6294,0.0637,-0.012,-0.036,-0.064,-3.3,-3.86,4,-326,-1597,0,0,7390,0.0529,0.011,-0.239,0.139,-1.65,-5.52,1,-159,-344,0,0,7369,0.0509,0.025,-0.023,-0.077,-1.66,-5.51,2,-54,-316,0,0
83.4,3,7277.3,-2316.6,-0.04,8076.68,0.5,0.06,-0.17,1.0,1.0,0.0,0.02,1,1841,260.4,0.72,0.44,0.03,1.29,0,0,6128,0.0648,-0.042,0.179,0.079,4.15,-3.02,5,585,-304,0,0,6364,0.0637,-0.001,0.091,-0.009,3.91,-3.25,4,-81,-1398,0,0,7309,0.0528,-0.001,0.136,0.036,-0.07,-7.09,7,-455,-422,0,0,7524,0.0517,0.041,0.076,-0.024,-0.15,-7.01,5,-112,-408,0,0
83.42,3,7277.3,-2316.6,-0.04,8076.68,0.6,0.16,-0.09,1.0,1.0,0.0,0.12,1,2001,429.1,1.09,0.42,0.01,1.04,0,0,6045,0.0639,-0.044,-0.194,0.094,8.07,0.91,2,318,415,0,0,6332,0.0637,0.001,0.041,-0.059,8.56,1.4,3,415,-526,0,0,7334,0.0528,-0.003,0.111,0.011,1.21,-5.95,5,1604,-304,0,0,7616,0.0526,0.043,0.111,0.011,1.21,-5.95,4,1750,-293,0,0
83.44,3,7277.3,-2316.6,-0.04,8076.69,0.7,0.25,0.05,1.0,1.0,0.0,0.22,1,2189,581.6,1.31,0.4,0.0,1.69,0,0,6039,0.0631,-0.039,-0.095,-0.005,9.38,2.21,6,78,1348,0,0,6191,0.0634,-0.015,-0.098,-0.002,9.74,2.58,4,417,591,0,0,7480,0.0531,0.013,-0.089,-0.011,1.59,-5.57,6,2099,-93,0,0,7638,0.0534,0.037,-0.07,-0.03,1.62,-5.54,5,2409,-69,0,0
