Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,0.6,-162.97,-23.78,-254.77,19.8,-0.16,0.00,0.00,0.00,0.00,0.97,1,2185,-40.5,0.20,0.18,1.83,-0.01,10,13,3354,0.0061,0.051,-0.003,-0.097,0.19,-6.97,164,-16,106,0,0,3299,0.0049,0.041,0.000,-0.100,0.19,-6.97,165,-24,105,0,0,2756,-0.0063,-0.053,-0.021,-0.079,0.20,-6.97,161,-756,93,0,0,2648,-0.0090,-0.075,-0.021,-0.079,0.20,-6.97,161,-745,90,0,0
0.240,1.2,-163.13,-23.78,-255.39,19.2,-0.15,0.00,0.00,0.00,0.00,0.42,1,2118,-40.0,0.20,0.12,1.85,0.01,10,12,3414,0.0045,-0.013,-0.001,-0.099,0.18,-6.98,159,-30,101,0,0,3306,0.0029,-0.017,-0.001,-0.099,0.18,-6.98,159,-31,98,0,0,2802,-0.0039,0.020,-0.018,-0.082,0.19,-6.97,156,-787,85,0,0,2747,-0.0058,0.027,-0.018,-0.082,0.19,-6.97,156,-780,84,0,0
0.360,1.8,-163.28,-23.78,-256.00,18.7,-0.11,0.00,0.00,0.00,0.00,0.00,1,1952,-38.9,0.20,0.13,1.86,0.00,9,12,3362,0.0040,-0.004,-0.002,-0.098,0.20,-6.96,155,-34,107,0,0,3273,0.0021,-0.007,-0.001,-0.099,0.20,-6.96,155,-32,105,0,0,2874,-0.0023,0.013,0.021,-0.079,0.20,-6.96,158,-8,96,0,0,2788,-0.0045,0.011,0.021,-0.079,0.20,-6.96,158,-33,92,0,0
0.480,2.5,-163.43,-23.78,-256.60,18.3,-0.10,0.00,0.00,1.00,0.00,0.30,1,2161,132.9,0.23,0.14,1.86,0.03,8,11,3406,0.0031,-0.007,-0.001,-0.099,0.19,-6.97,151,-42,109,0,0,3325,0.0012,-0.007,-0.001,-0.099,0.19,-6.97,151,-42,106,0,0,2808,-0.0013,0.009,0.007,-0.093,0.20,-6.97,164,-50,90,0,0,2734,-0.0034,0.009,0.007,-0.093,0.20,-6.97,164,-62,88,0,0
0.600,3.1,-163.59,-23.79,-257.22,19.7,0.33,0.00,0.19,1.00,0.00,0.90,1,2537,157.0,0.37,-0.07,1.86,0.20,11,13,2833,-0.0020,-0.043,-0.002,-0.098,3.08,-4.08,163,-72,417,0,0,2709,-0.0038,-0.041,-0.001,-0.099,3.75,-3.41,163,-62,470,0,0,3308,0.0039,0.044,0.251,0.151,0.21,-6.96,160,2787,95,0,0,3206,0.0021,0.046,0.254,0.154,0.21,-6.96,161,2722,92,0,0
0.720,3.8,-163.77,-23.79,-257.88,21.2,0.35,0.28,0.00,0.87,0.00,1.00,1,2700,159.8,0.52,-0.33,2.38,15.95,14,15,3552,0.0005,0.021,-0.005,-0.095,11.04,3.87,178,-83,3048,0,0,2073,-0.0147,-0.091,-0.002,-0.098,14.32,7.16,165,-18,1888,0,0,3915,0.0169,0.108,0.093,-0.007,0.96,-6.20,199,2921,376,0,0,2721,0.0017,-0.004,0.178,0.078,1.03,-6.13,200,2560,209,0,0
0.840,4.5,-163.99,-23.79,-258.58,22.3,0.26,0.03,0.00,0.00,0.00,1.00,1,2411,-42.1,0.44,-0.40,2.13,5.36,15,16,2825,-0.0024,-0.024,-0.002,-0.098,-1.31,-5.85,186,-12,-1125,0,0,3272,-0.0116,0.026,-0.002,-0.098,-1.35,-5.82,182,-23,-1296,0,0,2857,0.0149,-0.017,-0.044,-0.056,0.91,-6.25,178,-918,615,0,0,3314,0.0057,0.033,-0.028,-0.072,0.93,-6.23,177,-782,753,0,0
0.960,5.2,-164.20,-23.79,-259.28,21.6,-0.15,-0.06,0.00,1.00,0.00,1.00,1,2524,32.3,0.23,-0.05,1.72,-0.88,13,15,3408,-0.0005,0.016,-0.002,-0.098,0.16,-7.00,178,-46,45,0,0,3596,0.0015,0.110,-0.001,-0.099,0.16,-7.00,179,-46,46,0,0,2559,0.0010,-0.116,0.043,-0.057,-0.25,-6.92,187,26,-48,0,0,2756,0.0030,-0.023,0.039,-0.061,-0.24,-6.92,187,-19,-50,0,0
1.080,6.0,-164.42,-23.79,-259.99,23.0,0.31,-0.03,0.06,1.00,0.00,1.00,1,2915,161.8,0.51,-0.15,1.76,-0.07,15,17,2897,-0.0025,-0.017,-0.002,-0.098,0.13,-7.03,191,-85,55,0,0,2839,-0.0016,-0.026,-0.002,-0.098,0.13,-7.03,191,-83,54,0,0,3233,0.0034,0.020,0.239,0.139,0.13,-7.03,188,2660,26,0,0,3212,0.0043,0.011,0.239,0.139,0.13,-7.03,188,2643,26,0,0
1.200,6.8,-164.66,-23.79,-260.75,24.5,0.35,0.17,0.39,0.45,0.00,1.00,1,3086,109.9,0.77,-0.38,2.14,9.98,18,20,3357,-0.0022,0.003,-0.004,-0.096,8.03,0.86,204,-105,2506,0,0,2199,-0.0109,-0.078,-0.004,-0.096,10.36,3.20,195,-26,1844,0,0,3762,0.0133,0.083,0.113,0.013,0.55,-6.61,182,2716,214,0,0,2852,0.0046,0.002,0.154,0.054,0.58,-6.59,182,2516,147,0,0
1.320,7.6,-164.94,-23.78,-261.53,24.9,0.10,0.20,0.00,0.00,0.00,1.00,1,2667,-44.3,0.33,-0.35,2.38,10.99,18,21,3273,0.0038,0.050,-0.001,-0.099,-2.69,-4.47,210,-72,-1433,0,0,3144,-0.0129,-0.016,-0.004,-0.096,-2.81,-4.36,201,-45,-1304,0,0,2942,0.0157,0.019,-0.120,0.020,1.32,-5.84,222,-1094,594,0,0,2953,-0.0011,-0.047,-0.111,0.011,1.38,-5.78,221,372,637,0,0
1.440,8.4,-165.21,-23.78,-262.31,24.7,-0.03,-0.08,0.00,1.00,0.00,1.00,1,2980,163.8,0.38,-0.14,1.79,-0.49,16,20,3216,0.0001,-0.031,-0.001,-0.099,0.11,-7.05,204,-44,-40,0,0,3558,0.0004,0.111,0.001,-0.099,0.11,-7.05,205,-56,-40,0,0,2655,0.0021,-0.113,-0.098,-0.002,-0.08,-7.08,223,-171,63,0,0,2948,0.0021,0.027,-0.100,0.000,-0.08,-7.09,223,-224,71,0,0
1.560,9.3,-165.49,-23.78,-263.08,24.6,-0.03,-0.03,0.00,1.00,0.00,1.00,1,2977,163.8,0.82,-0.08,1.78,-0.05,16,20,3335,0.0010,0.008,-0.001,-0.099,0.10,-7.06,204,-64,46,0,0,3337,0.0025,0.017,-0.001,-0.099,0.10,-7.06,204,-48,44,0,0,2847,-0.0005,-0.021,-0.100,0.000,0.08,-7.08,222,-203,11,0,0,2794,-0.0003,-0.020,-0.100,0.000,0.08,-7.08,222,-211,11,0,0
1.680,10.1,-165.76,-23.78,-263.86,24.5,-0.03,-0.01,0.00,1.00,0.00,1.00,1,2966,174.9,1.06,-0.11,1.85,-0.01,16,20,3311,0.0014,0.003,-0.001,-0.099,0.19,-6.97,203,-47,97,0,0,3221,0.0011,-0.012,-0.001,-0.099,0.19,-6.97,203,-45,94,0,0,2901,-0.0003,0.002,-0.100,0.000,0.19,-6.97,221,-211,86,0,0,2783,-0.0019,-0.013,-0.100,0.000,0.19,-6.97,221,-204,83,0,0
1.800,10.9,-166.03,-23.78,-264.65,26.0,0.37,0.00,0.00,0.27,0.00,1.00,1,3546,53.4,1.12,-0.40,1.89,0.26,20,22,2601,-0.0042,-0.046,-0.004,-0.096,0.20,-6.96,216,-79,88,0,0,2516,-0.0053,-0.053,0.001,-0.099,0.20,-6.96,216,-45,85,0,0,3420,0.0062,0.054,0.037,-0.063,0.33,-6.83,250,3240,84,0,0,3359,0.0037,0.046,0.040,-0.060,0.33,-6.83,250,3183,86,0,0
1.920,11.8,-166.33,-23.78,-265.51,27.9,0.45,0.00,0.00,1.00,0.00,1.00,1,3525,195.3,1.15,-0.60,1.93,0.00,24,26,2767,-0.0089,-0.040,-0.002,-0.098,0.23,-6.93,231,-83,105,0,0,2627,-0.0111,-0.048,-0.002,-0.098,0.23,-6.93,231,-82,100,0,0,3547,0.0136,0.061,0.124,0.024,0.24,-6.92,261,2975,124,0,0,3426,0.0111,0.062,0.125,0.025,0.24,-6.92,261,2890,119,0,0
2.040,12.8,-166.65,-23.78,-266.42,30.0,0.50,0.00,0.00,0.61,0.00,1.00,1,3804,-20.7,0.94,-0.58,1.92,0.35,27,30,2712,-0.0105,-0.013,-0.002,-0.098,0.23,-6.93,248,-93,104,0,0,2643,-0.0124,-0.011,-0.002,-0.098,0.23,-6.93,248,-92,101,0,0,3488,0.0152,0.014,0.015,-0.085,0.33,-6.83,278,3295,106,0,0,3416,0.0130,0.016,0.018,-0.082,0.33,-6.83,278,3233,103,0,0
2.160,13.8,-166.99,-23.77,-267.40,31.9,0.44,0.00,0.00,0.00,0.00,1.00,1,4525,227.1,1.46,-0.49,1.93,0.25,31,34,2796,-0.0101,0.003,-0.002,-0.098,0.23,-6.94,264,-94,103,0,0,2704,-0.0123,0.001,-0.002,-0.098,0.23,-6.94,263,-91,100,0,0,3314,0.0130,-0.018,0.264,0.164,0.29,-6.87,336,3107,62,0,0,3238,0.0108,-0.018,0.265,0.165,0.29,-6.87,336,3038,60,0,0
2.280,14.9,-167.36,-23.77,-268.44,33.7,0.44,0.00,0.00,1.00,0.00,1.00,1,3944,101.6,0.70,-0.48,1.93,0.29,35,38,2856,-0.0101,0.000,-0.001,-0.099,0.24,-6.93,279,-62,111,0,0,2735,-0.0122,0.001,-0.001,-0.099,0.24,-6.93,279,-62,106,0,0,3356,0.0128,-0.002,-0.079,-0.021,0.31,-6.85,291,1303,184,0,0,3252,0.0108,0.000,-0.078,-0.022,0.31,-6.85,291,1316,178,0,0
2.400,16.1,-167.74,-23.78,-269.53,35.5,0.42,0.08,0.27,0.00,0.00,1.00,1,4905,93.3,1.36,-0.46,2.05,4.94,38,42,3092,-0.0077,0.020,-0.004,-0.096,6.52,-0.64,293,-100,2051,0,0,2397,-0.0125,-0.003,-0.002,-0.098,8.14,0.98,289,-40,1809,0,0,3605,0.0137,0.007,0.222,0.122,0.37,-6.79,358,3369,81,0,0,3037,0.0089,-0.016,0.239,0.139,0.38,-6.78,360,2847,65,0,0
2.520,17.3,-168.17,-23.78,-270.67,36.6,0.27,0.12,0.00,1.00,0.00,1.00,1,4364,149.5,0.81,-0.43,2.22,6.22,40,45,3174,-0.0034,0.036,-0.001,-0.099,-0.42,-6.74,305,-9,-385,0,0,2979,-0.0136,-0.009,-0.001,-0.099,-0.42,-6.74,301,-43,-361,0,0,3101,0.0157,0.017,0.067,-0.033,1.13,-6.03,288,-89,592,0,0,3021,0.0055,-0.028,0.084,-0.016,1.15,-6.01,286,562,587,0,0
2.640,18.5,-168.60,-23.78,-271.83,38.1,0.35,0.02,0.00,0.00,0.00,1.00,1,5344,235.8,1.69,-0.37,2.01,1.56,42,48,2843,-0.0046,-0.010,-0.002,-0.098,0.24,-6.92,316,-92,106,0,0,3412,-0.0085,0.042,-0.005,-0.095,0.24,-6.92,314,-26,146,0,0,3312,0.0105,-0.043,0.236,0.136,0.62,-6.54,417,3118,155,0,0,3253,0.0065,0.009,0.240,0.140,0.62,-6.54,418,3061,149,0,0
2.760,19.9,-169.07,-23.78,-273.06,40.1,0.46,0.02,0.00,1.00,0.00,1.00,1,4850,145.6,0.97,-0.54,2.00,0.88,48,53,2831,-0.0078,-0.027,-0.002,-0.098,0.30,-6.87,332,-77,136,0,0,2682,-0.0102,-0.014,-0.002,-0.098,0.30,-6.87,331,-79,129,0,0,3485,0.0135,0.025,0.075,-0.025,0.51,-6.66,357,2679,270,0,0,3308,0.0096,0.025,0.078,-0.022,0.51,-6.65,358,2605,255,0,0
2.880,21.2,-169.57,-23.77,-274.33,42.0,0.45,0.17,0.37,0.00,0.00,1.00,1,5634,41.8,1.33,-0.67,2.28,10.37,55,59,3027,-0.0063,0.012,-0.004,-0.096,9.02,1.86,346,-87,2497,0,0,1870,-0.0156,-0.045,-0.002,-0.098,11.29,4.13,337,-17,1661,0,0,3820,0.0180,0.038,0.067,-0.033,0.85,-6.31,403,3574,270,0,0,2996,0.0075,-0.017,0.100,0.000,0.87,-6.30,403,2853,192,0,0
3.000,22.6,-170.13,-23.77,-275.64,42.6,0.16,0.45,0.00,1.00,0.00,1.00,1,5053,104.3,0.72,-0.47,2.94,24.76,54,60,4068,0.0051,0.095,-0.018,-0.082,-2.99,-4.18,358,-661,3333,0,0,2210,-0.0219,-0.053,-0.047,-0.053,-3.15,-4.01,328,-430,1957,0,0,3821,0.0233,0.044,0.032,-0.068,2.10,-5.07,374,1004,1158,0,0,2073,-0.0041,-0.097,0.085,-0.015,2.21,-4.95,373,1509,604,0,0
3.120,24.1,-170.73,-23.77,-276.95,44.1,0.36,0.09,0.06,0.72,0.00,1.00,1,5598,152.5,1.27,-0.35,2.48,13.33,56,65,2864,0.0011,-0.033,-0.001,-0.099,0.23,-6.94,370,-69,-30,0,0,2884,-0.0138,0.068,-0.002,-0.098,0.23,-6.93,360,-102,-37,0,0,3050,0.0143,-0.075,0.021,-0.079,2.96,-4.21,407,2346,1148,0,0,3064,-0.0006,0.030,0.048,-0.052,3.04,-4.12,407,2622,1031,0,0
3.240,25.6,-171.39,-23.77,-278.31,45.8,0.39,0.35,0.45,0.00,0.00,1.00,1,5410,-63.8,0.69,-0.49,2.66,18.53,62,69,3605,0.0013,0.002,-0.003,-0.097,12.31,5.15,377,-49,3179,0,0,1953,-0.0178,-0.034,0.002,-0.098,15.19,8.03,360,19,1796,0,0,3931,0.0185,0.036,0.025,-0.075,2.78,-4.38,427,1656,1602,0,0,2560,-0.0006,0.000,0.062,-0.038,2.89,-4.27,427,1872,976,0,0
3.360,27.1,-172.11,-23.76,-279.64,45.6,-0.03,0.42,0.00,0.00,0.00,1.00,1,4923,-59.6,0.24,-0.35,2.99,15.59,58,69,3794,0.0119,0.088,-0.001,-0.099,-0.10,-7.06,383,-55,-220,0,0,2875,-0.0177,0.001,0.000,-0.100,-0.10,-7.06,371,-25,-149,0,0,3158,0.0193,0.006,0.035,-0.065,2.99,-4.17,359,-422,1429,0,0,2500,-0.0102,-0.080,0.067,-0.033,3.09,-4.07,356,596,1171,0,0
3.480,28.6,-172.86,-23.76,-280.96,45.4,-0.04,0.19,0.00,1.00,0.00,1.00,1,5164,143.3,0.60,-0.20,2.53,4.38,54,68,3558,0.0092,-0.022,-0.001,-0.099,0.86,-6.30,377,-44,491,0,0,3148,-0.0073,0.086,-0.001,-0.099,0.87,-6.29,374,-51,442,0,0,2929,0.0086,-0.089,0.045,-0.055,1.75,-5.42,356,-54,889,0,0,2637,-0.0079,0.020,0.054,-0.046,1.76,-5.40,355,268,811,0,0
3.600,30.1,-173.64,-23.75,-282.27,46.2,0.19,0.13,0.00,1.00,0.00,1.00,1,5936,286.5,1.73,-0.34,2.33,1.56,58,71,3081,0.0051,-0.034,-0.002,-0.098,0.64,-6.52,383,-91,336,0,0,2857,-0.0052,0.017,-0.002,-0.098,0.64,-6.52,382,-89,313,0,0,3314,0.0077,-0.008,0.140,0.040,0.97,-6.20,389,2972,403,0,0,3027,-0.0038,0.034,0.146,0.046,0.97,-6.19,390,2755,362,0,0
3.720,31.7,-174.46,-23.75,-283.62,48.2,0.48,0.06,0.08,0.00,0.00,1.00,1,6099,-68.6,0.91,-0.75,2.19,1.74,70,77,2350,-0.0055,-0.088,-0.002,-0.098,3.15,-4.01,399,-75,675,0,0,2126,-0.0109,-0.047,-0.002,-0.098,3.75,-3.41,397,-59,703,0,0,3593,0.0136,0.049,0.049,-0.051,0.78,-6.39,446,3328,309,0,0,3486,0.0073,0.092,0.054,-0.046,0.78,-6.38,446,3246,296,0,0
