Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,1.5,-191.79,-23.66,-305.00,55.6,-0.09,0.48,0.00,0.00,0.00,1.00,2,3521,-50.3,0.20,0.09,3.66,22.39,73,102,4286,0.0258,0.215,0.000,-0.100,2.24,-4.92,469,-57,1385,0,0,2798,-0.0130,-0.109,0.000,-0.100,2.33,-4.83,451,20,965,0,0,3482,0.0122,0.102,-0.037,-0.063,5.87,-1.30,472,-493,2525,0,0,2132,-0.0284,-0.237,-0.006,-0.094,6.09,-1.07,471,341,1609,0,0
0.240,3.4,-193.13,-23.66,-306.27,55.2,-0.03,0.51,0.00,1.00,0.00,0.89,2,3520,35.3,0.23,-0.30,3.47,11.18,78,101,3942,0.0206,-0.043,-0.001,-0.099,2.73,-4.43,461,-41,1642,0,0,2559,-0.0134,-0.003,-0.001,-0.099,2.79,-4.37,452,-42,1110,0,0,3568,0.0156,0.028,-0.029,-0.071,4.57,-2.59,468,-351,2280,0,0,414,-0.0217,0.056,0.010,-0.090,5.00,-2.16,467,47,282,0,0
0.360,5.2,-194.52,-23.65,-307.48,55.3,0.05,0.57,0.39,0.35,0.00,0.41,2,3618,61.4,0.77,-0.48,3.61,11.77,83,101,3374,0.0146,-0.050,0.002,-0.098,14.71,7.55,448,19,3036,0,0,1518,-0.0218,-0.070,0.012,-0.088,17.70,10.54,437,51,1407,0,0,3833,0.0212,0.047,0.008,-0.092,3.24,-3.92,466,511,1873,0,0,2233,-0.0168,0.041,0.027,-0.073,3.31,-3.85,465,784,1113,0,0
0.480,7.1,-195.95,-23.64,-308.62,54.6,-0.13,0.60,0.00,0.00,0.00,0.08,1,3401,-49.1,0.34,-0.02,3.71,19.59,74,99,4221,0.0162,0.013,-0.041,-0.059,0.01,-7.15,443,-881,3597,0,0,2396,-0.0224,-0.006,-0.073,-0.027,0.01,-7.15,413,-552,2125,0,0,3489,0.0193,-0.016,-0.033,-0.067,3.15,-4.01,442,-802,1617,0,0,1800,-0.0215,-0.039,-0.013,-0.087,3.26,-3.91,436,-19,888,0,0
0.600,8.9,-197.38,-23.64,-309.70,53.2,-0.31,0.21,0.00,1.00,0.00,0.68,1,4296,149.8,0.60,0.30,3.06,19.81,68,94,3770,0.0146,-0.013,0.000,-0.100,1.60,-5.56,448,-22,886,0,0,3550,-0.0071,0.128,0.000,-0.100,1.66,-5.50,432,-16,862,0,0,2276,-0.0007,-0.166,-0.252,0.152,4.91,-2.26,317,-2016,552,0,0,2213,-0.0223,-0.007,-0.225,0.125,5.08,-2.08,316,-1966,599,0,0
0.720,10.6,-198.80,-23.64,-310.72,52.1,-0.24,0.36,0.00,1.00,0.00,1.00,1,6351,276.4,1.73,0.26,3.03,15.05,65,90,4178,0.0176,0.025,-0.001,-0.099,2.29,-4.87,437,-63,1457,0,0,2761,-0.0032,0.032,-0.002,-0.098,2.35,-4.81,425,-59,1010,0,0,3225,-0.0004,0.002,0.114,0.014,4.89,-2.27,444,1316,2050,0,0,2120,-0.0212,0.010,0.145,0.045,5.03,-2.13,445,1253,1297,0,0
0.840,12.4,-200.27,-23.65,-311.70,53.6,0.37,0.37,0.07,0.18,0.00,1.00,1,7448,-180.7,1.99,-0.34,3.25,13.11,77,95,3473,0.0126,-0.041,-0.002,-0.098,4.62,-2.54,448,-68,1791,0,0,2310,-0.0118,-0.071,-0.001,-0.099,5.19,-1.97,437,-40,1292,0,0,3984,0.0162,0.138,0.159,0.059,4.54,-2.63,549,3464,1281,0,0,2925,-0.0108,0.087,0.195,0.095,4.64,-2.52,550,2593,857,0,0
0.960,14.2,-201.82,-23.64,-312.66,54.9,0.35,0.55,0.49,0.00,0.00,1.00,1,6454,-71.2,0.49,-0.92,3.57,19.32,90,100,3919,0.0105,-0.018,0.000,-0.100,16.14,8.98,444,-3,3504,0,0,1708,-0.0223,-0.088,0.010,-0.090,19.49,12.33,426,45,1576,0,0,4255,0.0288,0.105,-0.054,-0.046,4.43,-2.74,471,1006,2571,0,0,2750,-0.0048,0.050,-0.023,-0.077,4.57,-2.59,470,1447,1622,0,0
1.080,16.0,-203.41,-23.63,-313.54,54.2,-0.12,0.61,0.80,0.11,0.00,1.00,1,5929,-26.6,0.27,-0.50,3.85,17.74,83,97,3723,0.0098,-0.006,0.016,-0.084,28.29,21.13,406,99,3263,0,0,1918,-0.0299,-0.063,0.063,-0.037,34.37,27.21,386,163,1700,0,0,3468,0.0266,-0.018,0.031,-0.069,3.92,-3.24,430,-246,1958,0,0,1844,-0.0147,-0.083,0.061,-0.039,4.04,-3.12,428,430,1081,0,0
1.200,17.8,-205.00,-23.63,-314.33,53.3,-0.18,0.54,0.00,0.00,0.00,1.00,1,6253,162.7,1.08,0.44,3.80,22.19,66,94,4119,0.0177,0.066,-0.011,-0.089,0.68,-6.48,445,-496,855,0,0,2686,-0.0213,0.072,0.006,-0.094,0.71,-6.45,432,617,702,0,0,2140,0.0107,-0.133,0.029,-0.071,4.37,-2.79,424,-214,1289,0,0,1021,-0.0282,-0.113,0.069,-0.031,4.55,-2.61,422,309,630,0,0
