Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,1.7,-500.85,-14.54,-485.56,59.7,-0.20,0.62,0.98,0.73,0.00,1.00,2,4067,125.6,0.93,-4.31,0.32,19.59,245,142,4464,0.0240,0.200,-0.009,-0.091,36.30,29.14,401,-46,3797,0,0,2443,-0.0190,-0.159,-0.009,-0.091,43.82,36.65,348,-22,2123,0,0,3657,0.0202,0.168,0.044,-0.056,5.83,-1.33,524,1217,2563,0,0,1930,-0.0229,-0.191,0.078,-0.022,6.01,-1.15,524,1056,1307,0,0
0.240,3.6,-502.44,-14.38,-484.39,59.1,-0.08,0.69,0.00,0.19,0.00,1.00,2,4492,254.5,1.62,-4.31,0.10,22.88,239,136,4232,0.0245,0.004,-0.014,-0.086,35.81,28.65,399,-71,3616,0,0,2526,-0.0169,0.017,-0.014,-0.086,43.33,36.16,345,-34,2193,0,0,3739,0.0211,0.007,0.158,0.058,5.84,-1.33,577,2945,1804,0,0,2237,-0.0214,0.012,0.207,0.107,6.05,-1.11,580,1897,944,0,0
0.360,5.6,-503.97,-14.23,-483.14,59.6,0.17,0.62,0.00,0.82,0.00,1.00,2,4414,276.5,1.56,-4.53,-0.28,19.91,241,139,3395,0.0167,-0.065,-0.001,-0.099,2.91,-4.26,500,-36,1463,0,0,2023,-0.0199,-0.024,-0.003,-0.097,3.00,-4.16,484,-59,917,0,0,4035,0.0247,0.030,0.140,0.040,5.91,-1.25,539,2595,2420,0,0,2791,-0.0124,0.075,0.178,0.078,6.10,-1.06,541,2106,1518,0,0
0.480,7.6,-505.46,-14.08,-481.81,60.6,0.29,0.56,0.00,0.80,0.00,1.00,2,4413,298.6,1.67,-4.58,-0.57,13.06,248,142,3498,0.0095,-0.060,-0.002,-0.098,3.01,-4.15,505,-76,1600,0,0,2122,-0.0229,-0.026,-0.002,-0.098,3.07,-4.09,494,-66,1010,0,0,3802,0.0282,0.029,0.122,0.022,4.96,-2.20,569,2810,1938,0,0,2846,-0.0046,0.064,0.148,0.048,5.06,-2.11,570,2291,1345,0,0
0.600,9.7,-506.93,-13.93,-480.40,61.7,0.31,0.49,0.00,0.74,0.00,1.00,2,4531,312.4,1.76,-4.56,-0.79,9.79,256,144,3401,0.0063,-0.026,-0.002,-0.098,2.60,-4.56,514,-83,1386,0,0,2235,-0.0230,-0.001,-0.002,-0.098,2.64,-4.52,506,-70,940,0,0,3843,0.0261,-0.018,0.132,0.032,4.05,-3.12,583,3116,1593,0,0,2844,-0.0033,0.011,0.153,0.053,4.11,-3.05,585,2433,1108,0,0
0.720,11.8,-508.38,-13.77,-478.91,63.0,0.33,0.44,0.00,1.00,0.00,1.00,2,4553,316.7,1.77,-4.56,-1.01,6.55,267,146,3335,0.0040,-0.019,-0.002,-0.098,2.07,-5.09,523,-84,1115,0,0,2355,-0.0216,0.012,-0.002,-0.098,2.09,-5.07,518,-75,807,0,0,3831,0.0254,-0.006,0.117,0.017,3.03,-4.13,586,3163,1327,0,0,2986,-0.0002,0.026,0.131,0.031,3.06,-4.10,588,2581,992,0,0
0.840,13.9,-509.81,-13.62,-477.34,64.5,0.38,0.34,0.00,0.89,0.00,1.00,2,4692,334.5,1.88,-4.64,-1.25,5.11,279,149,3197,0.0018,-0.019,-0.002,-0.098,1.54,-5.62,536,-87,812,0,0,2536,-0.0178,0.031,-0.002,-0.098,1.55,-5.61,532,-81,656,0,0,3792,0.0246,-0.006,0.124,0.024,2.27,-4.89,604,3312,972,0,0,3187,0.0041,0.036,0.135,0.035,2.29,-4.87,606,2860,789,0,0
0.960,16.1,-511.25,-13.46,-475.71,66.3,0.41,0.26,0.00,0.98,0.00,1.00,2,4759,309.3,1.85,-4.71,-1.46,3.61,294,154,2824,-0.0035,-0.045,-0.002,-0.098,1.16,-6.00,549,-82,547,0,0,2381,-0.0182,-0.003,-0.002,-0.098,1.16,-6.00,546,-79,467,0,0,3814,0.0246,0.000,0.113,0.013,1.67,-5.49,612,3367,748,0,0,3384,0.0096,0.046,0.120,0.020,1.68,-5.48,613,3048,648,0,0
1.080,18.3,-512.71,-13.30,-474.00,68.0,0.41,0.20,0.00,0.55,0.00,1.00,2,5043,229.9,1.76,-4.59,-1.64,2.84,309,159,2879,-0.0062,-0.022,-0.002,-0.098,0.83,-6.33,563,-87,403,0,0,2573,-0.0168,0.011,-0.002,-0.098,0.84,-6.33,561,-82,363,0,0,3495,0.0212,-0.029,0.150,0.050,1.23,-5.94,647,3277,405,0,0,3225,0.0105,0.007,0.156,0.056,1.23,-5.93,648,3041,366,0,0
1.200,20.6,-514.17,-13.14,-472.25,69.5,0.36,0.16,0.00,0.97,0.00,1.00,2,5033,339.1,1.92,-4.53,-1.75,1.66,323,164,2959,-0.0063,-0.001,-0.002,-0.098,0.57,-6.60,576,-87,285,0,0,2688,-0.0145,0.019,-0.002,-0.098,0.57,-6.59,574,-84,260,0,0,3545,0.0184,-0.023,0.124,0.024,0.79,-6.37,649,3238,328,0,0,3327,0.0102,-0.002,0.127,0.027,0.79,-6.37,649,3064,304,0,0
1.320,23.0,-515.65,-12.98,-470.43,71.3,0.42,0.12,0.07,0.96,0.00,1.00,2,5182,336.5,1.96,-4.57,-1.84,1.94,340,171,3001,-0.0069,-0.005,-0.002,-0.098,2.61,-4.55,590,-75,826,0,0,2782,-0.0117,0.023,-0.001,-0.099,3.13,-4.04,588,-57,895,0,0,3662,0.0186,0.002,0.128,0.028,0.53,-6.63,667,3378,221,0,0,3431,0.0127,0.020,0.132,0.032,0.53,-6.63,668,3188,205,0,0
1.440,25.4,-517.15,-12.81,-468.55,72.8,0.37,0.39,0.46,1.00,0.00,1.00,2,5127,311.1,1.84,-4.59,-1.42,18.34,355,177,3432,-0.0009,0.050,-0.001,-0.099,13.12,5.96,594,-19,3068,0,0,1827,-0.0190,-0.060,0.009,-0.091,16.21,9.05,577,51,1688,0,0,4226,0.0265,0.066,0.081,-0.019,1.32,-5.84,660,3344,689,0,0,2914,0.0084,-0.036,0.109,0.009,1.35,-5.81,662,2600,439,0,0
1.560,27.8,-518.61,-12.64,-466.60,73.6,0.22,0.57,0.83,0.60,0.00,1.00,2,5097,145.3,1.41,-4.23,-1.13,31.66,367,191,3962,0.0076,0.070,0.013,-0.087,26.17,19.01,565,94,3472,0,0,2114,-0.0239,-0.041,0.053,-0.047,32.04,24.88,532,164,1877,0,0,3856,0.0298,0.027,0.050,-0.050,3.51,-3.66,667,1856,1810,0,0,2203,-0.0017,-0.084,0.093,-0.007,3.65,-3.51,668,1667,952,0,0
1.680,30.3,-520.01,-12.48,-464.60,73.4,0.02,0.68,0.96,0.61,0.00,1.00,2,5644,260.5,1.76,-3.78,-1.11,36.94,367,203,4205,0.0167,0.076,-0.003,-0.097,34.29,27.13,512,-8,3606,0,0,2349,-0.0223,0.013,0.038,-0.062,41.69,34.52,459,107,2047,0,0,3807,0.0267,-0.026,0.167,0.067,5.76,-1.41,726,3047,1761,0,0,2180,-0.0124,-0.089,0.229,0.129,6.03,-1.13,729,1878,849,0,0
1.800,32.7,-521.33,-12.33,-462.54,73.4,0.08,0.71,0.00,1.00,0.00,1.00,2,5098,178.7,1.18,-3.50,-1.33,37.42,367,220,4258,0.0198,0.025,0.000,-0.100,3.59,-3.57,620,-4,2121,0,0,2379,-0.0201,0.019,-0.004,-0.096,3.77,-3.39,588,-33,1271,0,0,3937,0.0261,-0.005,0.059,-0.041,8.11,0.94,657,1343,3076,0,0,2346,-0.0146,-0.018,0.112,0.012,8.50,1.34,658,1340,1691,0,0
