Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,1.0,330.13,-17.82,-25.56,37.1,0.35,0.00,0.00,0.24,0.00,1.00,1,4763,29.9,1.04,-4.59,0.69,0.17,42,46,2682,-0.0111,-0.093,-0.002,-0.098,0.08,-7.08,307,-85,36,0,0,2670,-0.0116,-0.097,-0.002,-0.098,0.08,-7.08,307,-85,36,0,0,3430,0.0142,0.119,0.053,-0.047,0.13,-7.04,350,3244,40,0,0,3387,0.0131,0.109,0.054,-0.046,0.13,-7.04,350,3206,40,0,0
0.240,2.3,331.38,-17.73,-25.75,38.6,0.36,0.00,0.00,0.50,0.00,1.00,1,5207,265.4,1.54,-4.58,0.70,0.07,46,50,2804,-0.0106,0.004,-0.002,-0.098,0.08,-7.08,319,-89,37,0,0,2745,-0.0114,0.002,-0.002,-0.098,0.08,-7.08,319,-88,36,0,0,3345,0.0131,-0.010,0.266,0.166,0.09,-7.07,355,3176,28,0,0,3331,0.0120,-0.009,0.266,0.166,0.09,-7.07,355,3163,29,0,0
0.360,3.6,332.68,-17.64,-25.95,40.3,0.41,0.00,0.00,1.00,0.00,1.00,1,4776,30.8,0.67,-4.61,0.71,0.15,50,54,2755,-0.0106,0.000,-0.002,-0.098,0.09,-7.07,334,-79,42,0,0,2713,-0.0117,-0.002,-0.002,-0.098,0.09,-7.07,334,-78,41,0,0,3405,0.0133,0.002,0.015,-0.085,0.13,-7.03,368,2441,66,0,0,3363,0.0122,0.002,0.015,-0.085,0.13,-7.03,368,2426,65,0,0
0.480,5.0,334.03,-17.54,-26.15,41.7,0.32,0.00,0.00,0.00,0.00,1.00,1,5792,224.1,1.55,-4.59,0.70,0.09,53,58,2801,-0.0096,0.008,-0.002,-0.098,0.09,-7.07,345,-86,41,0,0,2765,-0.0106,0.009,-0.002,-0.098,0.09,-7.07,345,-85,41,0,0,3342,0.0118,-0.012,0.236,0.136,0.11,-7.05,429,3147,26,0,0,3317,0.0108,-0.011,0.237,0.137,0.11,-7.05,429,3124,26,0,0
0.600,6.4,335.43,-17.44,-26.38,43.0,0.32,0.17,0.00,1.00,0.00,1.00,1,4937,29.4,0.63,-4.60,0.97,10.28,57,61,3399,-0.0062,0.029,-0.001,-0.099,9.31,2.15,355,-27,2774,0,0,2299,-0.0145,-0.032,0.004,-0.096,11.70,4.54,347,35,2026,0,0,3695,0.0162,0.037,-0.089,-0.011,0.42,-6.74,365,-88,203,0,0,2718,0.0079,-0.025,-0.075,-0.025,0.43,-6.73,363,638,153,0,0
0.720,7.8,336.85,-17.33,-26.62,44.2,0.26,0.08,0.00,0.34,0.00,1.00,1,6061,164.2,1.45,-4.52,0.85,7.50,58,65,2787,-0.0035,0.022,-0.002,-0.098,-0.23,-6.93,368,-79,-209,0,0,2892,-0.0120,0.021,-0.002,-0.098,-0.23,-6.93,362,-93,-222,0,0,3255,0.0140,-0.018,0.212,0.112,1.37,-5.79,447,3063,329,0,0,3301,0.0055,-0.020,0.232,0.132,1.39,-5.77,447,3087,310,0,0
0.840,9.3,338.33,-17.23,-26.89,45.8,0.39,0.06,0.00,1.00,0.00,1.00,1,5807,213.4,1.32,-4.61,0.66,3.38,63,70,2812,-0.0077,-0.035,-0.002,-0.098,0.32,-6.85,381,-78,135,0,0,2662,-0.0114,0.005,-0.002,-0.098,0.32,-6.84,378,-83,129,0,0,3477,0.0138,-0.002,0.123,0.023,0.99,-6.17,430,3105,437,0,0,3290,0.0096,0.034,0.132,0.032,1.00,-6.17,430,2995,400,0,0
0.960,10.9,339.86,-17.11,-27.17,47.6,0.41,0.06,0.00,0.38,0.00,1.00,1,6238,-71.9,1.06,-4.71,0.64,2.61,69,75,2780,-0.0090,-0.011,-0.002,-0.098,0.40,-6.76,395,-85,183,0,0,2608,-0.0129,-0.012,-0.002,-0.098,0.41,-6.76,393,-83,173,0,0,3488,0.0151,0.011,0.093,-0.007,0.91,-6.26,458,3292,277,0,0,3322,0.0105,0.008,0.100,0.000,0.91,-6.25,458,3144,257,0,0
1.080,12.5,341.44,-17.00,-27.48,49.0,0.35,0.07,0.00,0.93,0.00,1.00,1,6316,241.8,1.53,-4.72,0.66,1.01,74,80,2856,-0.0088,0.002,-0.001,-0.099,0.36,-6.80,406,-47,173,0,0,2636,-0.0135,-0.005,-0.002,-0.098,0.36,-6.80,405,-74,161,0,0,3419,0.0148,-0.002,0.198,0.098,0.54,-6.62,437,3157,220,0,0,3230,0.0101,-0.003,0.201,0.101,0.55,-6.62,438,3002,205,0,0
1.200,14.2,343.07,-16.87,-27.81,50.7,0.41,0.04,0.00,0.48,0.00,1.00,1,6611,-72.1,0.97,-4.72,0.60,1.16,79,85,2750,-0.0098,-0.009,-0.002,-0.098,0.29,-6.87,420,-85,134,0,0,2653,-0.0132,0.003,-0.002,-0.098,0.29,-6.87,419,-83,130,0,0,3411,0.0140,-0.006,0.157,0.057,0.50,-6.66,513,3231,155,0,0,3324,0.0107,0.005,0.159,0.059,0.50,-6.66,513,3153,150,0,0
