Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,2.3,262.36,-21.72,-19.34,84.7,0.51,-0.01,0.00,1.00,0.00,1.00,2,5740,374.6,2.20,1.43,-1.25,0.08,227,238,4932,0.0625,0.521,-0.002,-0.098,-0.18,-6.99,701,-124,-143,0,0,4997,0.0665,0.554,-0.002,-0.098,-0.18,-6.99,701,-125,-144,0,0,5504,0.0916,0.763,0.054,-0.046,-0.17,-7.00,740,3498,-137,0,0,5603,0.0952,0.793,0.053,-0.047,-0.17,-7.00,740,3550,-140,0,0
0.240,5.2,259.50,-21.83,-19.54,87.1,0.58,0.31,0.00,1.00,0.00,1.00,2,5926,370.3,2.20,1.46,-0.72,16.99,237,252,5820,0.0681,0.047,0.000,-0.100,-1.29,-5.88,729,-197,1157,0,0,4095,0.0587,-0.064,-0.002,-0.098,-1.31,-5.85,714,-241,1201,0,0,6076,0.0964,0.040,0.047,-0.053,0.49,-6.67,764,3517,337,0,0,4626,0.0870,-0.068,0.068,-0.032,0.50,-6.66,764,3397,252,0,0
0.360,8.2,256.56,-21.93,-19.72,89.6,0.59,0.13,0.00,1.00,0.00,1.00,2,6088,365.5,2.20,1.47,-0.64,6.58,249,267,5508,0.0696,0.013,-0.002,-0.098,0.35,-6.81,744,-132,268,0,0,5115,0.0603,0.013,-0.002,-0.098,0.35,-6.81,739,-138,252,0,0,5535,0.0949,-0.012,0.052,-0.048,1.02,-6.14,785,3395,827,0,0,5190,0.0850,-0.017,0.059,-0.041,1.03,-6.13,785,3480,769,0,0
0.480,11.2,253.52,-22.04,-19.87,92.1,0.58,0.21,0.00,1.00,0.00,1.00,2,6222,360.8,2.20,1.28,-0.61,2.05,266,282,5295,0.0701,0.004,-0.002,-0.098,0.42,-6.74,763,-125,354,0,0,4863,0.0608,0.004,-0.002,-0.098,0.42,-6.74,761,-125,329,0,0,5837,0.0973,0.020,0.049,-0.051,0.62,-6.54,802,3458,550,0,0,5455,0.0875,0.021,0.051,-0.049,0.63,-6.54,802,3369,515,0,0
0.600,14.3,250.41,-22.14,-20.00,94.7,0.63,0.14,0.00,1.00,0.00,1.00,2,6398,354.6,2.20,1.21,-0.68,0.72,282,298,4974,0.0672,-0.024,-0.002,-0.098,0.25,-6.91,784,-121,207,0,0,4788,0.0599,-0.007,-0.002,-0.098,0.25,-6.91,783,-120,200,0,0,5574,0.0963,-0.008,0.049,-0.051,0.32,-6.84,824,3360,274,0,0,5424,0.0891,0.014,0.050,-0.050,0.32,-6.84,825,3319,266,0,0
0.720,17.5,247.21,-22.24,-20.11,97.1,0.55,0.08,0.00,1.00,0.00,1.00,2,6562,348.9,2.20,1.23,-0.80,0.23,293,313,5485,0.0655,-0.014,-0.002,-0.098,0.10,-7.07,803,-136,89,0,0,5429,0.0619,0.016,-0.002,-0.098,0.10,-7.07,803,-132,88,0,0,5367,0.0924,-0.033,0.050,-0.050,0.12,-7.05,846,3309,97,0,0,5303,0.0883,-0.007,0.051,-0.049,0.12,-7.05,846,3286,96,0,0
0.840,20.8,243.93,-22.34,-20.22,99.4,0.55,0.05,0.00,1.00,0.00,1.00,2,6691,344.3,2.20,1.07,-0.88,0.08,310,328,5036,0.0662,0.006,-0.002,-0.098,0.00,-7.16,823,-122,1,0,0,5150,0.0650,0.026,-0.002,-0.098,0.00,-7.16,823,-124,1,0,0,5679,0.0923,-0.001,0.046,-0.054,0.00,-7.16,862,3257,6,0,0,5675,0.0909,0.021,0.046,-0.054,0.00,-7.16,862,3257,6,0,0
0.960,24.2,240.58,-22.44,-20.33,101.7,0.53,0.02,0.00,1.00,0.00,1.00,2,6851,338.7,2.20,1.02,-0.92,0.01,321,343,4964,0.0648,-0.012,-0.002,-0.098,-0.05,-7.11,841,-122,-42,0,0,4998,0.0649,-0.001,-0.002,-0.098,-0.05,-7.11,841,-123,-42,0,0,5415,0.0913,-0.009,0.047,-0.053,-0.05,-7.11,883,3205,-38,0,0,5438,0.0914,0.004,0.047,-0.053,-0.05,-7.11,883,3214,-43,0,0
1.080,27.6,237.15,-22.53,-20.43,103.9,0.52,0.01,0.00,1.00,0.00,1.00,2,7003,333.4,2.20,1.03,-0.94,0.02,332,358,5441,0.0644,-0.004,-0.002,-0.098,-0.08,-7.08,860,-131,-71,0,0,5486,0.0656,0.006,-0.001,-0.099,-0.08,-7.08,860,-132,-71,0,0,5303,0.0889,-0.020,0.048,-0.052,-0.08,-7.08,902,3158,-64,0,0,5325,0.0896,-0.015,0.048,-0.052,-0.08,-7.08,902,3168,-65,0,0
1.200,31.1,233.64,-22.63,-20.53,106.4,0.60,0.14,0.00,1.00,0.00,0.80,2,7420,305.0,2.20,0.83,-0.75,7.79,355,376,5373,0.0668,0.021,-0.002,-0.098,4.72,-2.44,881,-110,2911,0,0,4564,0.0642,-0.011,0.000,-0.100,5.89,-1.27,874,-23,2924,0,0,6136,0.0931,0.036,0.073,-0.027,0.09,-7.07,950,4635,46,0,0,5365,0.0903,0.006,0.081,-0.019,0.09,-7.07,951,4277,40,0,0
